,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
0,0.0,"(43.95, -10.65, 16.214)","(13.95, -40.2, 34.606)","(1.2, -16.65, 27.83)","(15.3, -5.1, 29.766)","(9.0, -15.0, 43.56)","(-0.45, -4.05, 25.168)","(-5.25, -8.4, 41.382)","(8.25, -9.3, 31.944)","(1.95, -18.75, 32.912)"
1,0.01,"(42.75, -11.4, 18.876)","(14.4, -38.85, 34.364)","(1.05, -16.95, 25.894)","(15.3, -3.6, 27.346)","(10.2, -14.25, 42.108)","(0.45, -5.7, 24.442)","(-4.2, -7.65, 41.866)","(8.7, -6.45, 27.346)","(0.15, -21.3, 35.09)"
2,0.02,"(41.55, -9.45, 16.698)","(15.3, -39.45, 33.88)","(1.95, -16.5, 27.104)","(17.25, -5.4, 27.588)","(9.9, -15.9, 41.382)","(1.95, -6.15, 24.2)","(-4.35, -8.1, 42.834)","(8.55, -8.4, 27.346)","(1.2, -21.15, 31.46)"
3,0.03,"(42.6, -10.8, 17.182)","(14.4, -39.6, 34.848)","(1.8, -14.85, 24.684)","(16.5, -3.0, 28.072)","(9.75, -16.35, 40.656)","(1.5, -6.9, 26.136)","(-4.65, -9.15, 40.898)","(8.7, -9.6, 29.524)","(2.4, -20.55, 33.638)"
4,0.04,"(40.5, -10.95, 15.972)","(15.0, -40.65, 36.542)","(1.2, -15.75, 27.83)","(16.65, -3.3, 28.314)","(10.2, -16.5, 41.14)","(1.2, -5.55, 25.168)","(-4.8, -9.3, 42.592)","(6.9, -10.5, 31.46)","(1.35, -19.65, 30.734)"
5,0.05,"(42.0, -11.4, 16.456)","(15.45, -38.55, 35.574)","(0.9, -15.75, 26.862)","(14.55, -4.05, 27.346)","(9.75, -16.8, 41.382)","(1.65, -4.95, 24.926)","(-4.05, -8.85, 40.656)","(8.85, -8.85, 27.588)","(1.5, -20.25, 33.638)"
6,0.060000000000000005,"(39.9, -10.5, 15.73)","(14.55, -38.7, 35.574)","(1.05, -15.9, 27.588)","(16.35, -5.7, 27.346)","(11.85, -15.6, 40.656)","(0.15, -5.25, 26.136)","(-3.6, -7.65, 38.72)","(7.65, -8.85, 29.766)","(2.25, -21.15, 35.332)"
7,0.07,"(42.3, -10.2, 18.876)","(15.45, -38.1, 32.67)","(0.9, -15.6, 27.104)","(16.8, -3.9, 28.314)","(9.9, -15.6, 42.35)","(1.05, -4.35, 26.378)","(-4.95, -7.95, 41.624)","(9.0, -8.7, 27.346)","(1.05, -19.05, 32.912)"
8,0.08,"(41.7, -11.55, 15.73)","(13.95, -38.1, 34.364)","(1.65, -15.15, 27.104)","(14.4, -4.5, 26.862)","(10.8, -12.75, 43.56)","(-0.75, -4.35, 25.168)","(-4.8, -7.5, 41.382)","(8.25, -10.2, 28.314)","(0.75, -20.85, 31.944)"
9,0.09,"(43.65, -11.85, 18.392)","(15.3, -37.65, 35.574)","(1.5, -15.45, 28.314)","(18.3, -4.5, 26.862)","(9.6, -15.9, 38.72)","(0.0, -5.55, 27.588)","(-3.6, -8.1, 41.624)","(7.35, -8.55, 26.378)","(1.35, -20.1, 32.912)"
10,0.09999999999999999,"(42.45, -12.15, 15.488)","(15.45, -38.55, 33.154)","(1.8, -13.05, 28.556)","(16.2, -3.75, 25.168)","(8.1, -15.75, 39.688)","(1.95, -7.2, 25.894)","(-4.5, -7.8, 43.076)","(8.25, -10.95, 27.83)","(2.7, -20.55, 33.396)"
