,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
0,0.0,"(39.6, -13.05, 14.762)","(33.75, -15.3, 64.13)","(22.05, 6.6, 55.418)","(18.6, -4.5, 28.072)","(9.6, -15.0, 43.076)","(-0.3, -6.6, 25.652)","(-3.3, -10.2, 40.172)","(7.05, -10.95, 28.798)","(2.1, -19.8, 33.638)"
1,0.01,"(42.75, -11.55, 21.054)","(33.15, -15.15, 62.678)","(21.75, 4.95, 55.176)","(16.05, -2.85, 28.556)","(8.7, -14.4, 42.35)","(0.6, -6.75, 28.072)","(-4.95, -11.55, 42.108)","(7.8, -11.25, 29.766)","(2.7, -21.3, 34.606)"
2,0.02,"(42.9, -9.3, 21.538)","(34.35, -13.65, 65.824)","(21.6, 4.65, 56.386)","(15.9, -4.95, 28.798)","(11.55, -13.95, 40.898)","(0.9, -6.15, 26.862)","(-4.35, -12.15, 39.688)","(8.25, -10.95, 29.766)","(2.55, -21.9, 34.364)"
3,0.03,"(41.25, -13.05, 25.41)","(34.65, -13.8, 63.646)","(20.25, 6.6, 55.66)","(16.8, -4.05, 24.926)","(9.9, -15.3, 42.834)","(-0.75, -6.75, 26.378)","(-3.45, -10.5, 40.656)","(8.1, -11.4, 30.734)","(1.2, -20.7, 36.058)"
4,0.04,"(44.25, -11.85, 12.826)","(33.6, -13.65, 62.92)","(20.55, 6.15, 54.692)","(16.35, -4.35, 26.862)","(8.85, -15.0, 42.35)","(1.05, -6.75, 25.652)","(-4.5, -9.15, 39.446)","(9.3, -8.1, 29.524)","(2.85, -19.95, 32.428)"
5,0.05,"(40.95, -8.4, 10.648)","(36.15, -12.0, 62.92)","(21.75, 4.95, 56.386)","(14.7, -4.05, 26.862)","(9.6, -15.45, 42.108)","(0.3, -7.8, 25.894)","(-2.55, -10.95, 40.414)","(8.7, -12.0, 27.83)","(2.1, -19.65, 33.88)"
6,0.060000000000000005,"(44.25, -5.7, 15.246)","(33.9, -13.65, 63.888)","(19.95, 6.3, 53.966)","(15.9, -4.05, 27.83)","(9.15, -15.75, 41.866)","(-0.6, -4.95, 24.926)","(-5.25, -11.1, 40.656)","(8.55, -11.7, 29.766)","(1.65, -20.4, 31.944)"
7,0.07,"(38.4, -7.8, 17.424)","(34.5, -14.55, 62.92)","(20.7, 4.95, 54.934)","(15.9, -4.65, 29.04)","(10.95, -15.45, 42.834)","(-0.75, -6.9, 26.136)","(-4.35, -10.65, 38.962)","(8.55, -12.45, 27.104)","(0.75, -20.7, 34.364)"
8,0.08,"(39.9, -13.35, 18.392)","(33.75, -14.1, 63.162)","(22.95, 5.7, 55.902)","(16.5, -3.6, 29.04)","(10.65, -14.85, 42.592)","(-0.15, -9.15, 23.716)","(-5.1, -10.95, 39.688)","(9.3, -12.0, 28.072)","(2.1, -20.4, 33.88)"
9,0.09,"(43.95, -6.0, 21.78)","(33.0, -14.4, 63.646)","(20.4, 4.35, 56.144)","(17.25, -4.05, 28.072)","(9.6, -15.9, 43.076)","(0.9, -6.9, 27.83)","(-3.3, -12.0, 40.656)","(8.25, -9.0, 27.588)","(0.6, -20.85, 32.186)"
10,0.09999999999999999,"(40.65, -10.5, 15.972)","(34.35, -14.85, 65.34)","(21.9, 4.05, 53.482)","(17.4, -3.3, 28.798)","(10.5, -14.85, 41.866)","(2.7, -8.25, 26.378)","(-4.35, -11.1, 40.414)","(7.95, -12.75, 28.314)","(3.0, -20.25, 34.606)"
11,0.10999999999999999,"(37.2, -9.75, 15.488)","(33.9, -13.2, 65.824)","(21.15, 4.5, 55.176)","(16.65, -3.3, 29.04)","(9.9, -14.25, 41.382)","(1.8, -7.05, 25.894)","(-3.0, -11.25, 41.624)","(9.75, -10.5, 29.766)","(2.25, -21.15, 31.702)"
12,0.11999999999999998,"(44.1, -11.4, 15.972)","(33.75, -14.1, 64.13)","(19.95, 4.65, 55.418)","(17.1, -4.2, 27.83)","(9.9, -16.5, 39.446)","(0.9, -8.55, 25.652)","(-4.95, -10.5, 41.14)","(8.85, -10.95, 27.83)","(1.65, -19.35, 35.09)"
13,0.12999999999999998,"(47.7, -8.4, 18.15)","(33.15, -13.5, 64.372)","(20.1, 5.25, 55.902)","(16.5, -4.65, 27.588)","(9.6, -15.0, 40.172)","(1.5, -6.15, 27.588)","(-5.25, -11.25, 41.624)","(7.65, -9.15, 27.346)","(2.25, -19.5, 32.67)"
14,0.13999999999999999,"(43.35, -12.6, 12.342)","(34.65, -13.65, 62.194)","(22.8, 4.8, 56.386)","(16.35, -3.3, 25.894)","(10.05, -16.35, 42.108)","(1.35, -5.7, 23.716)","(-3.3, -10.8, 40.172)","(7.35, -10.35, 29.04)","(3.45, -20.1, 32.428)"
15,0.15,"(45.15, -9.15, 18.15)","(34.2, -13.8, 63.646)","(22.65, 4.8, 54.692)","(17.55, -3.75, 28.556)","(10.05, -16.35, 43.802)","(0.9, -7.65, 25.168)","(-3.45, -11.1, 38.72)","(7.65, -10.35, 28.314)","(1.8, -18.9, 32.912)"
16,0.16,"(37.35, -7.2, 13.794)","(35.1, -14.25, 63.162)","(22.2, 4.95, 54.934)","(16.95, -4.95, 27.346)","(8.85, -14.85, 43.56)","(-0.15, -7.35, 26.378)","(-4.35, -11.55, 41.866)","(9.9, -12.3, 27.83)","(3.15, -20.1, 33.396)"
17,0.17,"(42.0, -13.5, 18.392)","(34.65, -14.7, 62.92)","(21.9, 2.7, 53.482)","(16.2, -4.65, 27.346)","(8.7, -16.65, 42.35)","(0.75, -7.05, 26.136)","(-4.8, -11.25, 40.656)","(6.6, -12.75, 29.04)","(1.5, -20.1, 33.154)"
