,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
0,0.0,"(69.3, 28.95, 36.058)","(21.3, -4.2, 19.844)","(22.05, 3.15, 55.418)","(16.8, -4.8, 27.104)","(10.65, -15.9, 39.204)","(2.7, -7.8, 25.41)","(-3.0, -8.55, 38.962)","(8.1, -11.4, 27.346)","(2.55, -20.4, 33.396)"
1,0.01,"(69.45, 28.8, 35.816)","(20.7, -3.45, 20.086)","(21.3, 5.85, 57.838)","(14.7, -3.9, 30.734)","(10.05, -15.45, 42.592)","(4.2, -7.8, 28.556)","(-1.95, -7.95, 39.93)","(7.8, -10.8, 26.862)","(3.45, -20.85, 34.122)"
2,0.02,"(69.9, 27.9, 36.058)","(20.55, -4.35, 19.602)","(21.0, 3.6, 57.838)","(16.95, -3.6, 28.314)","(10.8, -14.55, 44.286)","(1.35, -6.3, 24.926)","(-3.45, -8.7, 40.414)","(8.1, -11.25, 28.798)","(0.3, -21.3, 34.122)"
3,0.03,"(70.8, 29.85, 36.058)","(21.45, -4.2, 19.602)","(21.0, 4.35, 54.45)","(17.85, -6.3, 29.524)","(10.95, -14.85, 43.56)","(1.35, -6.9, 23.474)","(-1.65, -9.75, 41.382)","(8.55, -10.95, 28.072)","(2.1, -21.0, 32.67)"
4,0.04,"(70.05, 27.9, 37.268)","(20.25, -3.6, 19.36)","(23.4, 5.25, 54.934)","(16.65, -4.5, 28.314)","(10.95, -13.2, 43.318)","(-0.15, -5.55, 28.072)","(-3.45, -7.95, 43.318)","(8.4, -12.45, 27.83)","(2.1, -20.1, 33.638)"
5,0.05,"(70.5, 29.1, 35.574)","(21.15, -3.75, 19.118)","(21.3, 4.5, 54.692)","(17.4, -3.9, 23.716)","(10.05, -13.95, 40.898)","(-0.3, -4.5, 24.2)","(-3.75, -9.0, 39.446)","(8.7, -12.6, 30.25)","(1.35, -17.1, 34.364)"
6,0.060000000000000005,"(69.45, 28.5, 36.784)","(21.6, -4.5, 20.328)","(21.0, 4.65, 54.692)","(16.8, -4.2, 27.588)","(8.85, -12.75, 43.802)","(-0.9, -3.6, 27.104)","(-3.45, -7.8, 42.108)","(8.7, -10.95, 28.798)","(1.65, -18.9, 35.09)"
7,0.07,"(68.55, 29.1, 35.574)","(20.55, -3.0, 20.086)","(22.35, 4.5, 53.482)","(15.6, -3.3, 30.008)","(10.65, -11.85, 45.496)","(-1.2, -4.5, 25.652)","(-3.0, -7.05, 41.382)","(7.05, -11.25, 29.04)","(2.7, -19.5, 32.428)"
8,0.08,"(70.95, 28.65, 37.51)","(20.55, -3.9, 19.602)","(20.1, 6.0, 54.208)","(17.55, -5.85, 29.282)","(10.65, -12.9, 43.076)","(-1.2, -6.6, 26.378)","(-2.1, -7.05, 43.076)","(9.0, -9.9, 30.734)","(2.1, -19.35, 34.606)"
9,0.09,"(69.45, 28.2, 37.026)","(21.45, -4.2, 19.36)","(21.45, 2.7, 52.03)","(16.35, -4.8, 26.62)","(11.1, -14.1, 44.286)","(0.0, -6.45, 26.378)","(-3.9, -10.05, 40.898)","(7.8, -10.8, 30.008)","(3.15, -19.65, 32.67)"
10,0.09999999999999999,"(69.15, 27.0, 36.542)","(22.2, -3.75, 19.602)","(19.5, 4.2, 56.144)","(18.45, -2.7, 28.556)","(8.85, -15.0, 42.592)","(1.05, -5.4, 25.41)","(-3.9, -9.9, 41.14)","(7.2, -10.95, 28.314)","(1.2, -19.65, 31.218)"
11,0.10999999999999999,"(69.9, 28.2, 37.026)","(21.9, -3.9, 20.086)","(21.75, 5.25, 56.144)","(17.1, -5.55, 28.314)","(8.25, -15.6, 38.478)","(0.6, -7.5, 26.62)","(-3.3, -7.5, 38.236)","(8.85, -9.3, 27.83)","(2.7, -20.85, 35.332)"
12,0.11999999999999998,"(70.2, 27.45, 36.784)","(21.0, -4.8, 19.36)","(21.6, 3.9, 55.176)","(16.8, -3.45, 29.524)","(10.65, -14.55, 42.592)","(1.95, -7.2, 27.104)","(-4.65, -8.4, 39.204)","(6.9, -9.9, 28.556)","(1.05, -20.7, 34.122)"
