,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
0,0.0,"(70.8, 27.9, 74.052)","(31.05, -10.95, 33.154)","(2.7, -14.55, 25.894)","(18.15, -5.4, 29.04)","(49.65, 30.15, 98.736)","(0.3, -6.6, 24.684)","(-5.1, -9.6, 38.962)","(7.65, -10.2, 29.04)","(0.75, -20.55, 32.428)"
1,0.01,"(71.1, 29.25, 72.6)","(30.6, -10.95, 34.364)","(0.9, -16.2, 28.072)","(20.7, -8.1, 31.702)","(49.35, 31.65, 95.106)","(0.6, -5.55, 25.41)","(-4.65, -9.6, 38.478)","(8.85, -10.05, 24.684)","(1.65, -21.75, 33.396)"
2,0.02,"(70.05, 28.2, 72.842)","(30.6, -9.0, 30.976)","(3.3, -17.1, 27.588)","(17.7, -1.95, 31.944)","(51.75, 32.25, 97.526)","(-0.3, -6.0, 25.652)","(-5.55, -10.65, 39.446)","(7.35, -10.65, 29.04)","(-0.3, -20.4, 32.912)"
3,0.03,"(69.9, 30.75, 72.6)","(31.65, -9.3, 31.46)","(1.35, -15.6, 30.008)","(21.15, -4.95, 24.442)","(46.65, 30.9, 94.38)","(0.15, -7.65, 24.926)","(-3.45, -10.95, 40.656)","(8.25, -10.95, 27.346)","(1.5, -20.1, 32.912)"
4,0.04,"(68.85, 28.2, 72.358)","(33.45, -10.65, 33.638)","(2.25, -17.25, 24.442)","(17.7, -5.25, 22.748)","(50.1, 26.55, 98.252)","(-1.05, -7.2, 24.684)","(-5.25, -9.9, 39.93)","(9.45, -9.15, 28.314)","(-0.9, -19.35, 32.912)"
5,0.05,"(69.45, 27.9, 73.568)","(31.2, -11.7, 30.492)","(3.0, -15.15, 28.072)","(18.15, -4.95, 28.556)","(49.5, 31.05, 93.896)","(-0.75, -6.75, 24.684)","(-4.5, -12.0, 38.72)","(10.05, -9.6, 25.168)","(2.25, -20.85, 34.606)"
6,0.060000000000000005,"(71.1, 29.25, 72.116)","(30.45, -12.15, 34.364)","(2.1, -15.6, 26.136)","(19.2, -2.25, 31.702)","(49.65, 29.1, 98.494)","(1.65, -7.8, 26.136)","(-5.25, -9.9, 42.592)","(7.5, -10.65, 27.83)","(0.75, -20.25, 35.09)"
7,0.07,"(70.65, 28.5, 71.874)","(30.6, -11.85, 33.638)","(1.05, -14.55, 27.588)","(22.95, -7.95, 30.976)","(51.3, 30.3, 99.946)","(-0.15, -6.15, 27.83)","(-4.95, -10.8, 39.93)","(8.7, -10.2, 29.282)","(1.65, -21.75, 34.848)"
8,0.08,"(68.85, 29.1, 74.536)","(30.3, -12.3, 30.008)","(2.25, -14.85, 27.104)","(23.4, -5.55, 23.716)","(46.2, 29.85, 94.138)","(0.15, -7.5, 26.136)","(-3.9, -10.65, 40.898)","(8.1, -9.6, 28.798)","(1.8, -20.25, 34.606)"
9,0.09,"(69.45, 26.4, 74.294)","(30.45, -11.4, 35.09)","(3.0, -15.45, 27.588)","(18.3, -7.8, 32.428)","(49.5, 29.55, 98.736)","(0.3, -7.65, 26.862)","(-3.9, -10.95, 39.204)","(7.95, -9.75, 28.556)","(1.95, -20.25, 35.09)"
