,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
0,0.0,"(69.15, 28.5, 37.268)","(14.55, -38.4, 35.09)","(39.75, 23.85, 81.07)","(15.45, -3.6, 28.072)","(10.5, -13.65, 40.656)","(-1.05, -4.2, 26.136)","(-6.3, -8.85, 43.076)","(8.55, -11.25, 29.524)","(2.1, -20.1, 32.67)"
1,0.01,"(69.9, 28.35, 35.332)","(13.65, -39.0, 36.542)","(37.05, 24.0, 77.682)","(16.35, -3.15, 25.41)","(10.35, -16.65, 42.592)","(0.15, -5.1, 25.652)","(-6.0, -9.75, 42.35)","(8.4, -8.85, 31.46)","(1.95, -20.55, 34.364)"
2,0.02,"(69.0, 28.5, 36.542)","(14.85, -38.85, 33.396)","(36.9, 23.1, 76.714)","(15.9, -4.5, 28.556)","(9.6, -16.05, 42.108)","(0.15, -7.5, 27.588)","(-6.15, -9.3, 42.834)","(8.25, -10.05, 29.282)","(1.5, -19.8, 32.67)"
3,0.03,"(69.3, 30.45, 36.058)","(14.55, -38.4, 36.3)","(36.6, 22.5, 80.344)","(18.75, -5.1, 28.072)","(8.4, -14.55, 41.624)","(0.3, -6.45, 25.168)","(-4.5, -10.2, 41.14)","(9.0, -10.05, 29.524)","(2.1, -20.85, 34.848)"
4,0.04,"(68.4, 27.6, 37.268)","(14.4, -37.95, 32.912)","(37.05, 24.0, 76.472)","(16.5, -5.25, 24.2)","(10.35, -15.15, 44.528)","(0.9, -9.0, 25.168)","(-6.0, -8.85, 40.656)","(7.35, -11.1, 30.734)","(1.95, -21.75, 33.638)"
5,0.05,"(70.95, 29.1, 36.3)","(15.3, -38.7, 31.944)","(37.65, 22.2, 77.924)","(17.7, -3.75, 28.314)","(9.15, -15.75, 42.592)","(1.05, -6.3, 25.894)","(-4.35, -8.55, 41.382)","(8.7, -9.75, 28.556)","(2.85, -21.6, 34.364)"
6,0.060000000000000005,"(69.15, 29.4, 36.058)","(15.6, -39.75, 34.364)","(39.45, 24.3, 79.134)","(17.1, -4.5, 27.588)","(9.3, -15.6, 43.56)","(0.45, -6.0, 24.684)","(-4.95, -9.3, 41.866)","(9.3, -9.6, 33.154)","(1.95, -21.45, 33.154)"
7,0.07,"(70.05, 28.05, 37.752)","(14.7, -37.05, 32.428)","(37.2, 25.35, 80.828)","(15.45, -3.9, 28.314)","(9.15, -16.65, 40.656)","(-0.75, -8.4, 23.716)","(-3.45, -8.7, 41.866)","(7.5, -11.55, 30.976)","(1.35, -20.4, 31.944)"
8,0.08,"(69.6, 29.55, 36.3)","(15.9, -37.95, 32.912)","(39.0, 22.65, 80.828)","(16.5, -3.9, 29.766)","(8.55, -14.85, 42.108)","(0.9, -6.75, 24.684)","(-6.45, -9.45, 41.866)","(7.2, -10.65, 29.524)","(3.75, -21.45, 35.09)"
9,0.09,"(70.05, 27.3, 36.784)","(15.45, -38.1, 32.912)","(34.65, 24.75, 82.038)","(15.9, -4.5, 27.104)","(9.75, -16.95, 42.834)","(-0.3, -6.75, 25.894)","(-5.4, -10.65, 38.72)","(6.45, -10.2, 29.04)","(2.4, -21.9, 33.396)"
10,0.09999999999999999,"(70.05, 26.4, 36.058)","(13.95, -37.95, 33.88)","(39.0, 21.9, 77.682)","(15.6, -3.75, 26.62)","(10.05, -15.45, 40.172)","(0.75, -6.6, 25.41)","(-4.2, -8.25, 41.624)","(9.75, -11.4, 27.346)","(3.15, -20.4, 31.702)"
11,0.10999999999999999,"(68.85, 29.4, 36.784)","(14.7, -37.95, 32.912)","(37.65, 22.5, 77.924)","(17.4, -3.0, 27.588)","(9.9, -14.7, 39.688)","(0.0, -6.6, 26.62)","(-6.3, -10.05, 42.592)","(6.6, -10.95, 29.524)","(2.4, -20.1, 34.364)"
12,0.11999999999999998,"(70.2, 28.95, 36.784)","(15.9, -37.65, 32.428)","(38.55, 25.2, 77.198)","(15.15, -4.05, 27.346)","(9.75, -17.1, 41.866)","(1.05, -6.45, 25.41)","(-4.35, -8.85, 42.834)","(8.1, -11.25, 29.766)","(1.35, -20.1, 33.88)"
13,0.12999999999999998,"(69.0, 28.8, 36.542)","(14.1, -38.7, 34.848)","(39.15, 22.2, 76.23)","(16.8, -2.55, 26.862)","(9.0, -13.65, 40.172)","(1.2, -7.8, 24.926)","(-5.7, -9.45, 43.076)","(8.4, -10.95, 28.314)","(1.8, -21.15, 33.88)"
14,0.13999999999999999,"(70.95, 28.35, 37.026)","(14.7, -39.0, 32.428)","(37.95, 22.65, 78.166)","(16.8, -4.8, 26.136)","(9.45, -16.35, 37.994)","(0.45, -7.65, 29.04)","(-4.35, -10.95, 42.35)","(7.95, -10.35, 29.282)","(-0.15, -21.45, 32.912)"
15,0.15,"(69.3, 28.8, 36.3)","(13.95, -39.3, 33.396)","(39.6, 24.0, 77.924)","(16.35, -4.35, 26.862)","(9.75, -17.7, 40.172)","(0.45, -6.9, 26.378)","(-4.5, -10.05, 40.172)","(10.05, -9.6, 30.734)","(2.85, -20.4, 32.67)"
16,0.16,"(69.6, 28.5, 35.816)","(15.0, -37.95, 32.428)","(38.55, 24.6, 80.344)","(16.05, -3.6, 29.04)","(9.15, -16.35, 42.108)","(1.5, -6.15, 25.894)","(-3.75, -10.95, 43.56)","(8.1, -8.4, 28.798)","(1.05, -20.55, 30.976)"
17,0.17,"(70.8, 29.55, 35.574)","(14.25, -39.0, 35.332)","(37.8, 24.45, 78.408)","(17.25, -3.9, 26.62)","(10.2, -16.8, 42.108)","(0.75, -7.8, 25.894)","(-5.7, -9.45, 39.93)","(8.7, -10.65, 29.524)","(2.7, -21.9, 34.122)"
18,0.18000000000000002,"(69.0, 28.8, 36.784)","(15.15, -37.8, 35.09)","(39.0, 22.05, 79.618)","(16.05, -5.4, 27.104)","(9.3, -18.45, 39.688)","(-0.3, -6.9, 25.652)","(-6.0, -9.6, 43.56)","(9.15, -11.25, 30.976)","(1.95, -20.85, 31.944)"
19,0.19000000000000003,"(69.3, 28.5, 36.3)","(15.6, -39.45, 34.364)","(38.4, 22.65, 80.102)","(15.45, -4.95, 28.798)","(9.0, -16.65, 42.592)","(0.9, -6.9, 25.41)","(-3.45, -8.1, 40.656)","(8.85, -10.5, 26.862)","(2.4, -20.4, 33.638)"
20,0.20000000000000004,"(69.15, 28.5, 37.994)","(14.55, -38.25, 32.912)","(37.95, 24.45, 80.344)","(15.3, -4.35, 27.588)","(10.05, -15.75, 41.624)","(1.5, -7.05, 25.41)","(-4.2, -9.0, 39.93)","(6.75, -12.15, 30.492)","(2.85, -20.7, 31.702)"
21,0.21000000000000005,"(69.75, 29.55, 36.542)","(14.7, -37.65, 34.364)","(40.05, 23.7, 75.746)","(15.0, -3.3, 28.072)","(10.35, -14.25, 41.624)","(0.45, -5.55, 25.894)","(-4.05, -8.25, 42.35)","(8.85, -10.8, 29.766)","(1.5, -19.65, 31.944)"
22,0.22000000000000006,"(69.75, 27.3, 36.542)","(14.4, -37.8, 33.88)","(37.35, 25.05, 79.618)","(16.05, -4.8, 27.104)","(10.05, -16.8, 42.35)","(1.2, -5.4, 27.104)","(-5.7, -7.8, 44.044)","(7.2, -10.2, 27.83)","(2.7, -20.1, 34.364)"
23,0.23000000000000007,"(69.0, 28.65, 36.3)","(13.95, -37.2, 35.09)","(38.55, 23.4, 79.376)","(16.65, -4.65, 28.556)","(8.7, -15.3, 42.834)","(0.15, -7.2, 24.684)","(-3.15, -9.45, 40.414)","(9.3, -10.95, 30.25)","(1.2, -21.45, 31.46)"
24,0.24000000000000007,"(69.75, 28.65, 35.816)","(15.45, -38.1, 33.396)","(38.25, 24.3, 78.166)","(16.95, -4.05, 28.072)","(10.8, -15.0, 39.93)","(0.45, -6.3, 26.862)","(-5.85, -10.5, 43.56)","(9.15, -12.3, 30.734)","(2.1, -19.95, 33.154)"
25,0.25000000000000006,"(69.9, 29.55, 36.058)","(12.9, -38.7, 31.944)","(37.95, 22.65, 80.828)","(16.05, -4.35, 25.894)","(9.3, -15.45, 43.076)","(2.1, -6.6, 23.958)","(-5.4, -7.35, 41.14)","(8.7, -11.1, 29.04)","(2.85, -19.8, 34.122)"
26,0.26000000000000006,"(70.35, 27.75, 36.784)","(14.85, -38.85, 31.218)","(37.5, 24.75, 76.956)","(18.6, -4.5, 27.83)","(10.2, -15.45, 42.108)","(0.15, -6.6, 24.926)","(-3.15, -8.4, 41.382)","(8.55, -10.35, 30.734)","(3.6, -19.95, 34.122)"
27,0.2700000000000001,"(69.45, 28.8, 37.026)","(14.85, -39.15, 32.428)","(38.85, 24.6, 79.134)","(17.4, -5.55, 28.798)","(9.45, -14.55, 41.866)","(1.5, -4.95, 26.62)","(-4.65, -9.0, 40.172)","(8.4, -11.55, 28.556)","(2.1, -20.7, 32.912)"
28,0.2800000000000001,"(69.9, 28.8, 35.816)","(15.3, -37.5, 34.364)","(37.35, 23.1, 78.166)","(16.5, -4.95, 28.314)","(9.15, -16.35, 41.382)","(-1.5, -6.9, 26.862)","(-4.65, -10.95, 41.866)","(7.8, -11.85, 27.83)","(3.45, -20.1, 33.88)"
