,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
0,0.0,"(43.8, -10.5, 16.456)","(15.9, -37.8, 35.09)","(0.15, -14.1, 28.798)","(15.9, -5.85, 28.556)","(10.5, -15.6, 41.14)","(0.15, -5.4, 24.442)","(-6.45, -10.05, 43.318)","(7.65, -10.5, 31.46)","(1.5, -21.6, 32.186)"
1,0.01,"(43.05, -11.4, 16.698)","(14.85, -37.2, 34.122)","(1.05, -15.0, 27.83)","(16.2, -6.0, 25.168)","(10.2, -13.95, 44.044)","(0.6, -5.25, 25.41)","(-5.1, -8.7, 40.656)","(7.05, -11.4, 30.734)","(2.85, -22.35, 33.638)"
2,0.02,"(40.65, -12.0, 18.876)","(13.95, -39.0, 33.88)","(2.1, -15.0, 26.136)","(16.2, -4.5, 25.41)","(9.6, -15.45, 43.076)","(0.6, -7.2, 25.894)","(-4.8, -9.6, 42.35)","(8.55, -10.65, 30.492)","(2.25, -21.15, 34.848)"
3,0.03,"(41.85, -10.35, 15.73)","(13.65, -38.7, 36.058)","(2.4, -14.1, 28.556)","(18.0, -4.95, 27.83)","(9.75, -14.55, 42.834)","(1.35, -5.25, 25.168)","(-6.15, -9.6, 43.318)","(7.8, -12.0, 28.556)","(1.95, -21.9, 33.396)"
4,0.04,"(43.35, -12.6, 15.246)","(16.05, -38.25, 35.574)","(0.45, -15.15, 27.104)","(16.95, -4.65, 26.862)","(8.85, -14.25, 39.93)","(-0.75, -7.2, 27.104)","(-4.65, -9.75, 42.108)","(7.8, -10.5, 26.62)","(2.55, -22.05, 34.606)"
5,0.05,"(41.1, -10.95, 16.94)","(13.65, -38.55, 34.364)","(1.95, -16.05, 28.798)","(16.05, -4.05, 28.798)","(11.55, -11.85, 41.382)","(-1.35, -3.9, 27.104)","(-5.1, -8.85, 41.866)","(7.35, -10.95, 31.218)","(1.95, -19.8, 35.332)"
6,0.060000000000000005,"(42.45, -10.8, 15.73)","(14.4, -36.75, 35.09)","(1.2, -15.9, 26.62)","(16.05, -4.5, 28.072)","(9.45, -12.9, 41.624)","(-1.65, -5.1, 26.378)","(-4.5, -9.75, 40.898)","(9.45, -11.25, 31.46)","(3.3, -19.65, 32.912)"
7,0.07,"(42.45, -8.1, 18.634)","(15.15, -39.3, 34.606)","(3.15, -14.25, 28.798)","(14.1, -3.6, 28.556)","(8.55, -15.0, 41.624)","(0.15, -5.7, 24.684)","(-5.25, -8.7, 42.592)","(9.3, -11.25, 30.734)","(2.4, -20.4, 36.542)"
8,0.08,"(43.35, -9.45, 15.73)","(14.4, -38.1, 34.606)","(0.75, -15.15, 26.62)","(14.7, -5.1, 28.798)","(9.0, -15.15, 39.688)","(-0.45, -7.05, 26.378)","(-3.6, -9.45, 39.688)","(6.9, -9.6, 30.008)","(2.55, -21.75, 34.606)"
9,0.09,"(43.8, -10.8, 16.698)","(14.55, -37.05, 33.88)","(1.5, -15.75, 27.588)","(15.9, -5.25, 27.83)","(8.25, -16.35, 41.382)","(-1.05, -6.9, 23.716)","(-3.15, -10.05, 42.108)","(8.4, -11.55, 29.04)","(1.95, -21.45, 33.396)"
