,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
0,0.0,"(55.95, 9.0, 22.99)","(31.05, -13.5, 63.162)","(23.7, 7.95, 58.564)","(16.8, -5.25, 28.072)","(10.35, -15.3, 42.834)","(2.4, -5.4, 25.41)","(-4.2, -8.85, 43.318)","(9.15, -11.55, 28.556)","(0.6, -19.8, 34.122)"
1,0.01,"(58.2, 10.65, 24.2)","(34.95, -14.55, 66.55)","(24.0, 6.3, 60.258)","(17.85, -5.25, 28.798)","(9.3, -16.35, 39.688)","(1.2, -6.3, 27.104)","(-2.7, -7.5, 40.898)","(8.25, -9.6, 27.346)","(1.65, -20.25, 32.186)"
2,0.02,"(55.35, 9.3, 23.716)","(33.75, -14.1, 66.308)","(22.8, 4.95, 59.774)","(16.95, -4.5, 30.25)","(10.65, -14.7, 46.222)","(0.75, -6.0, 25.168)","(-2.1, -6.75, 40.172)","(8.1, -10.8, 29.766)","(1.65, -20.4, 33.638)"
3,0.03,"(56.25, 9.15, 22.506)","(34.35, -14.1, 66.066)","(23.4, 6.45, 60.258)","(17.1, -6.0, 28.314)","(9.15, -14.55, 41.14)","(2.85, -6.9, 27.104)","(-2.7, -7.35, 41.624)","(7.95, -10.2, 26.378)","(1.2, -21.0, 34.364)"
4,0.04,"(57.15, 10.05, 23.958)","(37.35, -17.7, 68.97)","(22.8, 6.75, 57.112)","(16.8, -4.65, 28.072)","(9.9, -16.35, 43.56)","(0.0, -6.75, 25.894)","(-1.35, -7.8, 42.834)","(7.35, -10.65, 28.072)","(3.0, -19.5, 35.816)"
5,0.05,"(56.7, 8.4, 24.2)","(36.9, -12.6, 62.92)","(24.6, 7.2, 60.742)","(16.35, -6.15, 30.734)","(9.6, -16.05, 42.35)","(0.45, -5.25, 26.62)","(-2.1, -9.15, 45.012)","(10.05, -10.05, 29.282)","(2.1, -19.95, 32.912)"
6,0.060000000000000005,"(55.5, 7.95, 22.99)","(36.0, -12.75, 68.244)","(22.8, 7.05, 59.532)","(18.0, -4.95, 27.104)","(9.3, -14.4, 41.624)","(0.6, -7.05, 26.62)","(-1.95, -9.15, 40.656)","(6.45, -10.8, 28.556)","(2.4, -20.25, 33.154)"
7,0.07,"(56.55, 9.9, 23.716)","(37.2, -11.1, 65.098)","(24.6, 4.8, 60.984)","(17.25, -6.45, 27.346)","(10.5, -16.05, 43.076)","(2.4, -4.65, 24.926)","(-3.75, -8.1, 42.592)","(8.1, -10.35, 30.008)","(2.85, -19.35, 33.638)"
8,0.08,"(54.6, 9.0, 24.926)","(34.8, -14.7, 66.308)","(24.15, 6.45, 56.628)","(16.5, -4.5, 27.83)","(10.2, -15.15, 43.318)","(0.15, -5.1, 27.83)","(-2.7, -8.7, 43.802)","(8.4, -10.5, 28.798)","(1.95, -20.25, 32.428)"
9,0.09,"(56.85, 9.0, 24.442)","(35.25, -11.85, 66.308)","(22.65, 7.8, 59.774)","(17.25, -5.55, 27.588)","(10.35, -15.75, 42.592)","(-0.3, -5.85, 27.104)","(-2.7, -8.7, 42.592)","(7.5, -9.6, 29.766)","(1.5, -21.45, 34.848)"
