,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
0,0.0,"(69.15, 32.85, 37.026)","(32.85, -14.4, 31.944)","(5.4, -17.85, 30.008)","(16.05, -5.55, 27.104)","(8.85, -14.7, 42.592)","(4.2, -6.0, 26.62)","(-2.55, -9.3, 39.93)","(8.4, -12.15, 29.524)","(4.95, -17.25, 33.638)"
1,0.01,"(70.95, 31.5, 38.236)","(36.6, -9.15, 34.364)","(2.85, -17.25, 28.798)","(15.3, -4.65, 27.104)","(10.5, -14.85, 42.35)","(1.95, -6.0, 27.588)","(-2.25, -8.55, 40.656)","(8.4, -11.55, 27.104)","(1.65, -21.3, 34.122)"
2,0.02,"(72.45, 29.1, 39.204)","(39.0, -14.7, 33.638)","(1.65, -16.2, 29.04)","(16.5, -5.25, 27.83)","(9.0, -15.0, 43.802)","(3.45, -5.1, 25.652)","(-1.2, -8.7, 41.382)","(7.35, -9.45, 27.104)","(1.8, -19.5, 35.09)"
3,0.03,"(72.45, 28.05, 37.51)","(36.9, -13.2, 31.702)","(3.15, -16.2, 30.492)","(15.6, -5.55, 27.588)","(10.35, -13.95, 41.624)","(1.95, -4.35, 27.346)","(-1.95, -8.7, 41.14)","(8.55, -10.95, 30.008)","(2.55, -18.3, 36.058)"
4,0.04,"(71.7, 30.45, 38.962)","(36.75, -10.2, 34.364)","(0.75, -15.15, 24.926)","(16.5, -5.25, 30.492)","(10.65, -15.0, 42.108)","(2.25, -4.2, 29.524)","(-1.05, -9.0, 41.382)","(7.8, -10.65, 27.104)","(2.85, -17.7, 34.122)"
5,0.05,"(71.1, 29.25, 38.72)","(34.35, -11.85, 33.396)","(0.75, -18.3, 28.072)","(16.65, -5.1, 29.766)","(9.9, -14.1, 41.382)","(3.0, -6.15, 28.072)","(-1.35, -9.0, 41.866)","(7.5, -9.6, 30.008)","(1.35, -18.9, 36.058)"
6,0.060000000000000005,"(72.9, 30.75, 37.51)","(37.05, -10.65, 31.944)","(2.1, -15.75, 29.282)","(15.9, -5.85, 28.556)","(9.6, -16.65, 41.866)","(2.55, -7.65, 27.104)","(-1.2, -8.55, 41.382)","(7.65, -10.95, 28.798)","(3.0, -20.25, 33.88)"
7,0.07,"(69.45, 30.0, 37.026)","(33.75, -12.75, 30.976)","(2.55, -16.8, 28.314)","(16.8, -5.55, 28.072)","(10.8, -15.9, 41.382)","(3.0, -5.4, 26.136)","(-0.9, -9.0, 40.172)","(9.15, -10.95, 30.492)","(2.85, -18.3, 34.606)"
8,0.08,"(69.3, 29.25, 39.93)","(35.1, -13.2, 31.218)","(0.9, -17.1, 28.556)","(18.45, -4.2, 27.588)","(9.6, -13.65, 42.834)","(2.4, -6.15, 25.652)","(-0.9, -9.3, 39.688)","(9.0, -10.8, 28.798)","(2.55, -17.25, 34.848)"
9,0.09,"(72.45, 31.95, 37.51)","(35.55, -14.85, 32.186)","(-0.6, -18.15, 28.556)","(17.1, -5.85, 28.556)","(9.45, -15.75, 43.802)","(5.1, -6.15, 27.104)","(-0.6, -9.3, 41.624)","(9.9, -9.0, 31.702)","(2.1, -19.65, 35.09)"
10,0.09999999999999999,"(73.05, 28.95, 39.93)","(39.0, -14.55, 34.364)","(2.1, -16.35, 30.976)","(16.95, -5.55, 29.04)","(9.6, -15.6, 42.35)","(0.6, -5.4, 26.862)","(-2.55, -9.15, 40.898)","(9.3, -8.25, 30.25)","(2.1, -19.35, 36.784)"
