,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
0,0.0,"(-4.8, -4.95, -9.68)","(16.2, -38.25, 35.816)","(39.15, 22.5, 85.426)","(16.2, -3.6, 28.798)","(9.6, -15.6, 42.35)","(1.8, -6.3, 27.588)","(-3.9, -7.95, 41.624)","(6.3, -10.2, 30.976)","(2.25, -21.0, 33.396)"
1,0.01,"(-5.1, -4.95, -9.196)","(12.45, -39.3, 35.574)","(39.3, 22.95, 79.376)","(16.8, -4.65, 27.83)","(9.75, -15.75, 42.834)","(1.5, -7.5, 25.41)","(-2.4, -9.75, 42.35)","(8.25, -11.4, 29.04)","(0.75, -19.95, 35.09)"
2,0.02,"(-4.8, -4.65, -9.922)","(15.0, -39.15, 37.994)","(40.35, 22.2, 77.198)","(17.4, -6.0, 28.314)","(9.75, -15.45, 42.35)","(1.35, -6.3, 25.894)","(-3.9, -10.2, 43.076)","(6.6, -11.7, 27.104)","(2.85, -21.75, 34.606)"
3,0.03,"(-4.5, -4.8, -11.374)","(14.7, -38.85, 32.428)","(39.0, 23.7, 82.28)","(16.35, -5.1, 31.218)","(8.85, -16.65, 42.834)","(1.65, -7.95, 26.378)","(-4.35, -9.6, 39.93)","(8.1, -12.3, 30.734)","(1.8, -20.25, 36.3)"
4,0.04,"(-4.65, -4.95, -8.954)","(15.0, -37.95, 35.332)","(39.6, 27.0, 84.458)","(15.9, -5.1, 30.008)","(8.4, -16.5, 41.382)","(1.5, -5.55, 24.926)","(-3.6, -8.55, 42.35)","(8.1, -11.7, 29.766)","(1.65, -21.0, 34.364)"
5,0.05,"(-4.35, -4.5, -10.648)","(16.95, -38.25, 36.3)","(38.55, 22.2, 80.344)","(16.5, -6.45, 28.072)","(10.35, -16.5, 43.802)","(1.35, -8.1, 27.346)","(-3.6, -8.4, 43.318)","(8.1, -11.55, 29.524)","(2.25, -20.25, 34.122)"
6,0.060000000000000005,"(-5.1, -4.8, -9.922)","(14.4, -38.1, 32.912)","(38.55, 26.4, 84.942)","(16.05, -6.75, 29.766)","(9.6, -19.35, 41.382)","(2.55, -7.8, 26.62)","(-4.65, -10.2, 41.14)","(7.5, -11.7, 29.282)","(1.8, -23.1, 34.364)"
7,0.07,"(-4.35, -4.5, -9.68)","(15.0, -41.4, 33.154)","(39.9, 24.45, 85.426)","(16.95, -6.75, 28.798)","(10.2, -16.2, 42.592)","(0.0, -6.6, 25.652)","(-4.8, -8.55, 40.656)","(6.3, -10.8, 29.282)","(1.2, -21.15, 32.428)"
8,0.08,"(-4.2, -5.4, -10.406)","(12.9, -39.45, 34.122)","(43.95, 24.75, 85.184)","(17.25, -5.1, 27.104)","(8.7, -16.2, 39.688)","(0.45, -6.45, 25.894)","(-3.9, -9.15, 42.35)","(7.35, -10.5, 28.314)","(2.4, -21.45, 35.574)"
9,0.09,"(-4.5, -4.65, -11.132)","(15.0, -38.85, 37.994)","(37.05, 24.45, 86.878)","(16.95, -6.6, 26.862)","(9.6, -15.6, 43.076)","(0.75, -7.8, 28.314)","(-2.85, -11.1, 41.866)","(8.1, -12.0, 28.314)","(0.6, -21.0, 34.122)"
10,0.09999999999999999,"(-4.95, -4.95, -9.922)","(15.3, -39.3, 30.976)","(39.15, 25.5, 79.86)","(15.6, -5.85, 29.282)","(9.15, -17.7, 40.414)","(1.05, -6.6, 27.588)","(-4.35, -8.1, 39.204)","(7.95, -11.25, 29.04)","(1.2, -21.0, 35.816)"
11,0.10999999999999999,"(-4.2, -4.95, -8.954)","(14.7, -37.8, 35.09)","(40.65, 23.55, 80.344)","(16.8, -5.25, 28.072)","(8.4, -17.25, 41.624)","(-0.15, -7.35, 25.894)","(-4.95, -10.2, 40.656)","(9.15, -10.8, 29.282)","(1.5, -21.45, 34.364)"
12,0.11999999999999998,"(-4.35, -4.8, -8.954)","(14.55, -37.95, 33.88)","(39.0, 23.4, 82.28)","(16.65, -6.75, 29.524)","(9.9, -15.75, 41.14)","(2.1, -6.9, 27.346)","(-3.3, -9.75, 39.446)","(8.55, -10.35, 27.588)","(-0.3, -21.9, 36.3)"
13,0.12999999999999998,"(-4.65, -5.1, -9.922)","(14.25, -38.1, 30.492)","(39.75, 25.95, 81.554)","(18.9, -4.65, 29.04)","(8.4, -15.9, 42.834)","(2.25, -5.7, 24.2)","(-3.15, -10.65, 41.382)","(8.25, -11.85, 28.556)","(1.35, -21.9, 34.364)"
14,0.13999999999999999,"(-4.95, -4.95, -9.68)","(14.7, -37.95, 34.122)","(43.2, 24.6, 82.522)","(16.35, -5.7, 29.524)","(9.45, -16.05, 42.834)","(0.6, -7.05, 25.168)","(-4.05, -9.3, 41.382)","(9.9, -10.05, 28.072)","(0.15, -20.7, 35.574)"
15,0.15,"(-4.65, -4.65, -9.438)","(15.15, -35.7, 33.396)","(45.0, 24.0, 78.892)","(19.95, -6.0, 27.588)","(9.45, -15.45, 40.414)","(0.0, -7.05, 27.346)","(-3.75, -9.6, 41.866)","(7.35, -9.15, 29.04)","(1.05, -21.3, 31.944)"
16,0.16,"(-4.5, -5.1, -10.406)","(17.25, -41.1, 36.3)","(42.9, 24.6, 82.038)","(16.8, -4.8, 30.008)","(9.75, -17.4, 43.318)","(-0.45, -7.05, 25.894)","(-2.1, -8.55, 40.898)","(9.45, -9.0, 29.766)","(1.95, -21.3, 35.816)"
17,0.17,"(-4.95, -5.4, -9.922)","(13.8, -40.8, 32.186)","(41.85, 25.65, 82.522)","(16.2, -6.15, 28.798)","(9.3, -16.5, 41.866)","(2.55, -6.75, 26.378)","(-4.8, -8.55, 42.35)","(8.85, -12.9, 31.702)","(1.95, -21.75, 34.848)"
18,0.18000000000000002,"(-3.75, -4.95, -10.164)","(15.15, -40.2, 35.816)","(41.7, 24.0, 84.216)","(18.15, -5.7, 27.104)","(10.2, -15.3, 41.624)","(1.95, -5.85, 24.684)","(-2.1, -10.5, 41.382)","(9.3, -9.3, 29.766)","(3.0, -21.6, 35.574)"
19,0.19000000000000003,"(-4.65, -4.65, -9.196)","(15.45, -41.7, 37.026)","(40.35, 25.05, 82.764)","(17.4, -4.05, 27.588)","(8.85, -15.6, 43.076)","(0.0, -7.8, 28.314)","(-2.85, -9.45, 41.624)","(8.7, -9.0, 28.072)","(0.75, -20.85, 33.396)"
20,0.20000000000000004,"(-4.2, -5.25, -9.68)","(18.0, -40.2, 33.638)","(40.65, 22.8, 79.618)","(16.5, -6.6, 26.62)","(10.05, -16.95, 44.77)","(2.7, -5.4, 24.926)","(-3.6, -7.8, 40.414)","(8.1, -12.0, 30.008)","(1.5, -20.4, 32.67)"
21,0.21000000000000005,"(-4.65, -4.8, -9.68)","(14.85, -39.0, 34.122)","(44.1, 21.3, 85.668)","(16.8, -4.95, 30.008)","(9.75, -17.55, 42.108)","(0.9, -6.0, 27.346)","(-4.5, -9.45, 40.898)","(9.45, -11.1, 27.83)","(0.45, -21.15, 33.154)"
22,0.22000000000000006,"(-4.65, -5.4, -9.922)","(12.75, -38.25, 33.396)","(39.45, 25.05, 83.006)","(17.4, -6.3, 26.62)","(10.65, -15.6, 42.108)","(-0.3, -6.0, 25.652)","(-3.45, -8.25, 39.204)","(7.95, -9.9, 27.588)","(1.8, -19.65, 32.428)"
23,0.23000000000000007,"(-4.65, -5.25, -9.196)","(16.95, -36.9, 33.154)","(39.3, 21.9, 80.344)","(17.85, -6.9, 30.008)","(9.75, -15.6, 41.866)","(1.95, -7.8, 27.83)","(-4.35, -8.85, 42.834)","(8.7, -11.25, 29.04)","(1.8, -20.7, 33.396)"
24,0.24000000000000007,"(-4.5, -5.25, -9.922)","(15.3, -39.75, 34.606)","(43.35, 23.25, 82.764)","(16.65, -5.1, 30.492)","(10.8, -16.2, 41.866)","(1.35, -5.7, 26.62)","(-3.45, -9.3, 45.254)","(7.05, -8.55, 28.314)","(2.1, -20.4, 33.88)"
25,0.25000000000000006,"(-4.65, -4.65, -9.438)","(15.6, -40.5, 34.848)","(42.15, 21.0, 83.49)","(16.5, -5.55, 29.766)","(9.3, -15.15, 44.044)","(0.75, -6.6, 26.136)","(-3.45, -8.55, 42.834)","(9.3, -10.2, 30.976)","(2.1, -21.3, 33.88)"
26,0.26000000000000006,"(-5.25, -4.5, -9.438)","(15.45, -37.35, 35.574)","(41.4, 23.85, 88.33)","(16.8, -4.8, 29.524)","(9.6, -18.15, 44.528)","(1.8, -6.45, 28.072)","(-1.95, -9.0, 40.656)","(8.55, -10.35, 30.734)","(0.15, -21.6, 34.848)"
27,0.2700000000000001,"(-4.65, -4.95, -9.922)","(16.5, -40.2, 32.912)","(44.55, 23.85, 82.522)","(16.95, -7.05, 28.072)","(10.05, -16.35, 45.012)","(-1.05, -6.6, 25.894)","(-4.2, -8.25, 42.108)","(8.4, -10.05, 28.072)","(1.95, -20.55, 35.574)"
28,0.2800000000000001,"(-4.35, -4.95, -7.986)","(15.0, -39.45, 30.734)","(41.7, 24.15, 84.7)","(17.4, -4.95, 29.282)","(11.85, -16.2, 43.56)","(1.05, -5.55, 26.862)","(-1.05, -8.25, 43.318)","(9.3, -11.4, 29.524)","(1.35, -21.3, 34.364)"
29,0.2900000000000001,"(-3.75, -5.55, -10.648)","(14.4, -40.2, 34.606)","(38.1, 24.45, 80.586)","(17.1, -4.2, 27.104)","(9.9, -16.05, 42.592)","(0.45, -4.65, 25.894)","(-3.0, -10.05, 43.802)","(7.5, -10.5, 30.008)","(1.65, -20.25, 34.364)"
30,0.3000000000000001,"(-4.05, -4.95, -9.922)","(15.15, -38.7, 33.396)","(39.45, 22.2, 77.44)","(18.0, -4.8, 30.492)","(9.9, -15.6, 45.98)","(2.4, -5.85, 26.378)","(-3.0, -9.0, 43.076)","(9.15, -10.95, 26.862)","(1.05, -20.7, 33.638)"
31,0.3100000000000001,"(-4.8, -4.5, -9.196)","(16.05, -39.45, 37.268)","(42.0, 23.1, 79.618)","(18.15, -5.55, 28.072)","(10.5, -16.65, 42.834)","(1.95, -6.0, 26.862)","(-2.85, -8.7, 41.14)","(10.2, -9.0, 30.976)","(2.1, -20.7, 37.268)"
32,0.3200000000000001,"(-5.1, -4.95, -9.196)","(16.35, -38.1, 35.09)","(38.4, 24.45, 79.618)","(16.35, -6.9, 28.314)","(8.7, -15.75, 42.592)","(-0.15, -4.8, 27.346)","(-2.1, -9.0, 42.834)","(8.7, -10.05, 30.734)","(1.95, -20.7, 34.364)"
33,0.3300000000000001,"(-4.35, -5.25, -9.68)","(14.85, -38.7, 30.734)","(39.75, 24.45, 83.974)","(16.95, -7.8, 27.104)","(10.5, -15.3, 42.592)","(0.15, -6.45, 25.894)","(-2.85, -9.15, 42.834)","(9.15, -10.8, 25.652)","(0.15, -20.55, 37.268)"
34,0.34000000000000014,"(-4.35, -5.1, -9.438)","(17.55, -40.05, 33.396)","(39.9, 25.65, 81.312)","(17.7, -5.1, 30.008)","(9.0, -17.25, 43.56)","(1.05, -6.45, 26.62)","(-1.8, -8.7, 40.898)","(10.35, -10.5, 29.766)","(2.55, -21.75, 33.154)"
35,0.35000000000000014,"(-4.65, -4.8, -9.438)","(17.1, -41.4, 36.542)","(42.45, 23.25, 83.248)","(18.0, -6.0, 28.798)","(9.0, -15.3, 42.834)","(1.35, -6.0, 27.104)","(-2.85, -8.25, 40.172)","(8.85, -11.55, 29.04)","(2.1, -19.8, 34.848)"
36,0.36000000000000015,"(-4.65, -4.65, -9.438)","(16.05, -39.15, 33.88)","(38.55, 23.1, 83.732)","(17.55, -6.15, 29.04)","(10.35, -14.85, 40.898)","(0.9, -5.7, 26.62)","(-3.3, -9.9, 40.898)","(8.7, -7.5, 29.524)","(1.95, -18.6, 32.428)"
37,0.37000000000000016,"(-4.8, -4.8, -9.922)","(14.55, -38.4, 32.186)","(39.3, 22.2, 84.7)","(16.35, -5.7, 27.83)","(10.2, -16.05, 44.528)","(0.75, -5.85, 27.104)","(-2.7, -8.25, 42.108)","(10.35, -9.3, 29.282)","(3.0, -21.6, 34.122)"
38,0.38000000000000017,"(-4.35, -4.8, -9.922)","(15.3, -36.45, 33.88)","(42.15, 27.75, 83.006)","(16.8, -5.25, 30.008)","(10.8, -16.05, 41.866)","(1.2, -5.7, 27.104)","(-2.55, -9.6, 44.044)","(9.3, -9.6, 28.314)","(2.7, -20.7, 33.88)"
39,0.3900000000000002,"(-4.8, -4.35, -10.164)","(15.9, -39.15, 36.3)","(42.45, 23.85, 84.942)","(17.55, -5.7, 29.524)","(10.5, -16.5, 39.93)","(1.05, -8.25, 30.008)","(-2.85, -10.05, 42.108)","(8.85, -9.3, 29.282)","(2.25, -20.85, 34.606)"
