,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
20,0.20000000000000004,"(58.8, 7.8, 47.916)","(36.0, -14.1, 64.372)","(5.25, -14.85, 31.46)","(37.65, 13.65, 61.952)","(32.25, 9.75, 67.276)","(1.8, -5.25, 28.798)","(-1.8, -8.55, 39.93)","(9.0, -10.05, 30.008)","(3.3, -19.2, 36.058)"
21,0.21000000000000005,"(56.7, 8.55, 47.432)","(36.3, -13.5, 63.888)","(3.15, -12.9, 25.894)","(36.15, 16.5, 59.29)","(31.05, 11.85, 71.874)","(3.0, -7.5, 25.894)","(-1.8, -9.6, 41.624)","(8.7, -8.1, 33.154)","(3.45, -18.3, 33.638)"
22,0.22000000000000006,"(59.4, 9.6, 50.094)","(35.4, -13.05, 63.404)","(0.75, -17.25, 26.62)","(33.3, 13.5, 58.806)","(30.45, 9.15, 70.664)","(1.8, -7.05, 27.83)","(-1.8, -7.95, 42.592)","(9.45, -10.2, 29.766)","(2.7, -22.05, 34.364)"
23,0.23000000000000007,"(54.6, 9.6, 45.496)","(35.55, -13.35, 66.066)","(3.3, -14.7, 25.652)","(37.95, 12.3, 64.13)","(29.7, 8.4, 69.212)","(2.4, -6.0, 26.378)","(-2.7, -8.55, 42.834)","(9.75, -8.55, 28.072)","(1.5, -19.65, 34.364)"
24,0.24000000000000007,"(55.2, 8.4, 43.318)","(35.4, -12.75, 66.066)","(1.5, -21.9, 23.958)","(33.75, 17.55, 55.418)","(30.6, 6.6, 71.148)","(2.4, -6.3, 26.378)","(-1.8, -8.55, 41.624)","(9.9, -10.05, 26.378)","(2.4, -18.6, 31.218)"
25,0.25000000000000006,"(58.35, 8.4, 47.916)","(35.7, -12.75, 65.824)","(0.0, -17.85, 26.378)","(34.65, 12.6, 59.048)","(32.1, 8.4, 69.938)","(3.6, -4.95, 26.862)","(-2.4, -7.05, 42.35)","(9.0, -8.7, 29.04)","(1.65, -19.35, 34.364)"
26,0.26000000000000006,"(58.95, 8.25, 45.98)","(35.7, -12.9, 64.372)","(1.5, -16.35, 29.282)","(35.85, 17.55, 60.742)","(31.8, 9.0, 70.18)","(1.8, -5.25, 25.168)","(-2.25, -7.95, 42.108)","(9.3, -8.85, 29.524)","(1.35, -18.75, 34.606)"
27,0.2700000000000001,"(56.55, 7.5, 45.98)","(36.45, -13.95, 65.098)","(4.95, -19.65, 34.606)","(36.45, 15.3, 59.532)","(32.25, 4.95, 74.294)","(1.8, -5.1, 25.894)","(-1.05, -10.35, 42.592)","(8.25, -7.5, 29.524)","(2.1, -20.1, 34.848)"
28,0.2800000000000001,"(54.75, 10.2, 48.642)","(35.85, -13.65, 63.888)","(0.15, -13.8, 27.588)","(37.05, 12.3, 61.952)","(32.7, 9.45, 69.454)","(1.05, -5.4, 25.652)","(-2.7, -8.55, 40.172)","(8.85, -8.55, 31.218)","(1.65, -20.55, 31.702)"
29,0.2900000000000001,"(57.9, 10.05, 45.254)","(35.1, -14.55, 66.066)","(-0.45, -15.75, 27.588)","(34.5, 13.5, 56.628)","(29.85, 7.65, 71.148)","(3.6, -5.55, 27.588)","(-3.75, -8.1, 43.076)","(7.8, -9.0, 27.346)","(2.25, -20.4, 32.428)"
30,0.3000000000000001,"(58.65, 10.95, 45.012)","(36.15, -13.35, 63.646)","(6.0, -14.85, 25.894)","(36.0, 13.65, 59.29)","(33.0, 6.6, 74.536)","(1.65, -6.3, 25.894)","(-1.2, -9.6, 39.688)","(10.2, -8.1, 30.25)","(3.6, -19.95, 34.364)"
31,0.3100000000000001,"(57.0, 9.45, 47.674)","(36.0, -12.45, 64.13)","(2.85, -17.25, 31.944)","(40.2, 13.35, 59.048)","(30.45, 6.6, 71.632)","(0.6, -4.65, 26.378)","(-2.7, -8.1, 41.382)","(9.6, -9.75, 29.282)","(1.65, -19.5, 34.606)"
32,0.3200000000000001,"(55.95, 9.6, 50.094)","(35.55, -12.9, 65.824)","(2.7, -16.65, 32.428)","(37.65, 14.55, 52.998)","(30.45, 7.5, 70.422)","(1.8, -5.25, 26.378)","(-1.95, -7.8, 39.93)","(10.65, -9.45, 30.25)","(4.2, -18.9, 32.67)"
33,0.3300000000000001,"(57.75, 10.05, 46.222)","(36.0, -12.6, 64.856)","(-0.75, -18.3, 23.474)","(37.35, 17.55, 60.742)","(29.1, 8.1, 70.422)","(2.25, -6.3, 27.588)","(-2.4, -10.2, 43.076)","(9.15, -7.95, 31.46)","(4.05, -18.75, 32.67)"
34,0.34000000000000014,"(55.8, 5.85, 44.528)","(35.55, -13.05, 65.098)","(1.65, -16.5, 31.944)","(33.3, 17.25, 58.322)","(30.75, 8.25, 70.906)","(1.8, -5.7, 27.83)","(-1.65, -8.25, 41.14)","(10.05, -10.8, 30.492)","(2.85, -20.85, 36.784)"
35,0.35000000000000014,"(56.1, 11.25, 47.674)","(36.0, -13.5, 63.888)","(1.2, -18.3, 28.314)","(34.95, 13.35, 59.774)","(28.95, 8.25, 70.422)","(1.35, -4.95, 26.378)","(-2.7, -7.35, 41.866)","(9.6, -7.8, 29.282)","(3.75, -19.8, 36.058)"
36,0.36000000000000015,"(60.75, 13.2, 49.368)","(35.55, -12.45, 65.34)","(0.6, -16.35, 26.136)","(35.1, 16.05, 61.226)","(29.25, 9.6, 73.084)","(2.25, -5.4, 25.41)","(-2.4, -7.2, 42.35)","(9.0, -9.15, 29.282)","(2.4, -20.1, 35.574)"
37,0.37000000000000016,"(57.75, 8.25, 49.61)","(36.3, -12.9, 65.582)","(1.2, -17.25, 33.638)","(40.65, 16.05, 55.66)","(31.8, 9.15, 73.326)","(1.35, -5.25, 25.41)","(-1.65, -9.3, 42.35)","(11.1, -10.2, 29.524)","(2.4, -20.25, 34.848)"
38,0.38000000000000017,"(55.2, 10.2, 52.03)","(36.3, -13.5, 65.34)","(1.05, -13.95, 34.606)","(32.1, 17.85, 56.87)","(29.55, 9.0, 70.664)","(1.35, -5.7, 29.524)","(-2.25, -9.45, 38.962)","(9.3, -8.85, 25.894)","(3.0, -19.8, 36.784)"
39,0.3900000000000002,"(57.15, 8.1, 40.414)","(35.55, -13.65, 65.098)","(1.2, -17.7, 27.104)","(35.25, 16.35, 58.08)","(29.85, 9.0, 75.262)","(3.15, -4.95, 24.2)","(-2.55, -8.4, 42.834)","(9.9, -9.0, 29.282)","(3.45, -20.4, 34.364)"
40,0.4000000000000002,"(58.05, 7.35, 42.834)","(35.85, -12.9, 65.098)","(2.1, -18.6, 21.78)","(35.25, 14.55, 58.806)","(30.75, 7.65, 73.326)","(1.65, -6.9, 25.652)","(-1.35, -8.55, 41.624)","(8.1, -7.95, 32.67)","(2.4, -18.9, 36.784)"
41,0.4100000000000002,"(56.25, 8.85, 42.108)","(36.0, -13.95, 64.614)","(1.65, -17.7, 27.83)","(32.7, 16.65, 60.258)","(31.5, 10.35, 71.148)","(3.15, -4.8, 24.926)","(-2.7, -9.6, 41.382)","(8.55, -9.15, 29.04)","(2.1, -18.9, 35.816)"
42,0.4200000000000002,"(54.0, 7.65, 47.432)","(36.45, -12.45, 64.13)","(-0.75, -17.4, 30.25)","(38.4, 18.75, 56.144)","(33.0, 7.05, 74.778)","(2.55, -6.3, 26.136)","(-3.15, -7.8, 42.834)","(9.3, -6.45, 31.944)","(1.95, -19.35, 36.3)"
43,0.4300000000000002,"(57.15, 8.7, 44.528)","(36.3, -12.0, 67.276)","(4.2, -15.75, 26.136)","(36.15, 17.4, 52.272)","(30.9, 9.0, 67.76)","(1.5, -6.75, 26.862)","(-2.7, -9.15, 41.382)","(8.85, -10.2, 27.588)","(3.45, -18.6, 32.67)"
