,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
0,0.0,"(68.85, 29.7, 79.134)","(35.85, -13.05, 67.276)","(8.7, -14.7, 29.04)","(15.3, -5.7, 29.524)","(10.95, -15.3, 45.738)","(1.65, -5.55, 26.378)","(-3.15, -7.95, 42.834)","(8.4, -11.85, 31.702)","(3.15, -20.1, 36.784)"
1,0.01,"(70.8, 30.9, 75.504)","(34.95, -13.05, 68.486)","(2.55, -18.0, 31.702)","(16.65, -5.1, 29.766)","(10.05, -16.5, 40.414)","(1.5, -7.05, 28.072)","(-3.0, -9.0, 42.108)","(10.5, -10.35, 30.25)","(3.0, -21.45, 34.364)"
2,0.02,"(68.7, 30.3, 76.472)","(34.5, -12.15, 64.614)","(1.5, -13.65, 30.008)","(16.5, -5.4, 28.072)","(10.35, -15.45, 43.318)","(2.55, -6.45, 27.346)","(-3.45, -9.6, 40.656)","(8.7, -10.95, 28.798)","(2.1, -20.25, 36.784)"
3,0.03,"(73.35, 31.05, 78.166)","(34.2, -13.95, 68.97)","(3.6, -16.8, 24.926)","(18.6, -5.85, 28.314)","(10.05, -16.8, 41.14)","(2.55, -7.2, 26.62)","(-3.3, -10.35, 41.14)","(8.85, -11.25, 30.976)","(1.35, -19.05, 34.848)"
4,0.04,"(70.2, 30.9, 75.02)","(36.6, -15.9, 62.92)","(1.35, -18.45, 31.944)","(17.1, -5.7, 27.83)","(10.5, -17.1, 43.076)","(1.8, -6.45, 25.41)","(-4.65, -10.35, 45.254)","(7.95, -11.4, 29.282)","(1.8, -19.35, 36.542)"
5,0.05,"(69.6, 29.85, 76.714)","(34.2, -13.65, 66.55)","(5.55, -22.05, 30.492)","(17.55, -6.75, 28.798)","(9.6, -17.4, 43.56)","(3.0, -7.2, 25.652)","(-3.15, -10.35, 41.866)","(10.8, -11.55, 28.798)","(3.75, -20.4, 33.88)"
6,0.060000000000000005,"(70.95, 31.65, 76.714)","(35.4, -14.4, 67.276)","(1.05, -15.9, 30.976)","(16.05, -5.55, 30.008)","(10.5, -15.75, 42.834)","(1.8, -7.35, 26.136)","(-3.45, -10.05, 43.802)","(8.85, -11.7, 29.524)","(2.7, -21.3, 35.09)"
7,0.07,"(70.35, 30.15, 75.504)","(34.5, -14.4, 63.404)","(1.65, -14.55, 28.314)","(16.8, -5.1, 27.83)","(9.15, -14.85, 41.382)","(1.2, -4.95, 27.83)","(-2.7, -8.55, 43.56)","(9.45, -11.25, 29.04)","(3.75, -19.65, 36.542)"
8,0.08,"(70.35, 30.3, 74.052)","(33.6, -14.7, 67.276)","(0.3, -18.15, 31.46)","(15.3, -5.85, 30.734)","(11.1, -16.35, 42.592)","(1.2, -6.9, 26.378)","(-1.65, -9.45, 41.382)","(8.7, -12.3, 31.46)","(0.9, -18.9, 36.3)"
9,0.09,"(74.7, 31.35, 74.536)","(33.6, -12.9, 66.066)","(0.3, -18.75, 34.122)","(16.65, -5.55, 29.282)","(10.05, -15.3, 43.076)","(1.65, -5.25, 26.378)","(-2.85, -7.35, 42.592)","(8.1, -11.1, 31.46)","(3.15, -19.2, 35.574)"
