,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
0,0.0,"(42.0, -12.3, 8.954)","(52.65, 8.85, 91.476)","(39.0, 22.35, 76.714)","(16.8, -5.25, 29.04)","(9.75, -17.55, 41.14)","(1.2, -8.55, 26.378)","(-5.4, -12.0, 43.802)","(9.6, -13.95, 29.766)","(1.65, -22.2, 33.396)"
1,0.01,"(42.75, -12.15, 7.986)","(51.75, 9.3, 90.75)","(37.5, 21.6, 79.376)","(17.1, -5.55, 27.104)","(10.8, -17.1, 41.382)","(1.5, -9.75, 26.862)","(-3.6, -11.7, 39.204)","(9.0, -12.9, 30.492)","(2.25, -23.55, 33.638)"
2,0.02,"(45.3, -12.45, 9.438)","(52.65, 10.05, 90.508)","(37.8, 21.3, 77.682)","(17.55, -4.8, 25.894)","(9.75, -17.4, 43.56)","(2.25, -6.3, 27.104)","(-4.05, -10.5, 44.044)","(9.15, -13.35, 31.218)","(3.6, -23.25, 35.332)"
3,0.03,"(40.2, -12.3, 7.986)","(51.15, 7.95, 89.782)","(37.05, 21.75, 78.166)","(18.45, -6.6, 26.378)","(11.55, -16.2, 43.318)","(0.15, -6.6, 25.894)","(-3.6, -9.75, 41.624)","(7.05, -13.95, 29.524)","(1.8, -21.45, 33.88)"
4,0.04,"(42.9, -13.2, 8.954)","(53.25, 9.0, 89.782)","(37.05, 21.45, 79.376)","(15.9, -3.15, 27.346)","(11.4, -14.85, 42.834)","(-0.15, -7.5, 25.652)","(-4.05, -11.85, 42.592)","(8.7, -12.45, 29.766)","(3.3, -21.6, 36.058)"
5,0.05,"(42.15, -12.3, 8.954)","(52.8, 11.55, 91.718)","(36.75, 21.15, 77.924)","(17.1, -4.8, 26.862)","(10.35, -17.25, 45.254)","(0.6, -6.0, 27.588)","(-3.9, -11.4, 43.318)","(8.4, -12.6, 30.492)","(3.45, -20.7, 33.638)"
6,0.060000000000000005,"(42.3, -12.0, 8.954)","(53.1, 8.85, 90.75)","(37.2, 20.85, 77.44)","(18.0, -4.65, 27.83)","(11.1, -16.35, 45.012)","(1.8, -7.05, 28.556)","(-3.15, -10.35, 40.656)","(10.65, -14.85, 31.702)","(3.15, -20.7, 34.848)"
7,0.07,"(44.55, -11.25, 9.196)","(52.65, 9.3, 90.266)","(36.75, 21.45, 78.408)","(16.05, -4.8, 28.556)","(8.55, -16.8, 41.382)","(0.9, -8.1, 27.588)","(-3.75, -10.05, 42.834)","(9.45, -12.75, 31.218)","(3.9, -21.9, 33.154)"
8,0.08,"(41.85, -12.15, 9.196)","(51.75, 8.25, 88.814)","(36.0, 22.05, 76.23)","(18.3, -6.45, 26.136)","(10.2, -18.0, 41.866)","(1.5, -8.4, 27.104)","(-4.8, -10.35, 43.802)","(8.85, -14.7, 31.218)","(3.15, -20.7, 33.638)"
9,0.09,"(42.3, -13.5, 7.018)","(52.05, 9.0, 90.75)","(36.9, 21.45, 79.134)","(16.35, -6.15, 30.492)","(10.5, -15.75, 41.382)","(1.2, -8.85, 25.41)","(-4.95, -10.65, 42.35)","(9.0, -14.1, 30.734)","(3.6, -22.8, 36.542)"
10,0.09999999999999999,"(42.9, -13.05, 8.712)","(49.35, 7.8, 92.444)","(37.5, 20.7, 75.988)","(17.7, -5.25, 28.556)","(11.1, -18.45, 42.592)","(0.6, -5.55, 26.378)","(-4.95, -9.45, 43.56)","(8.4, -13.05, 32.428)","(3.45, -21.45, 34.364)"
11,0.10999999999999999,"(43.95, -11.85, 7.986)","(52.05, 9.3, 89.056)","(37.2, 21.15, 79.376)","(17.4, -7.2, 29.766)","(10.8, -17.25, 44.044)","(2.1, -7.8, 26.62)","(-3.15, -11.4, 43.318)","(8.7, -13.05, 30.25)","(1.5, -21.6, 34.364)"
12,0.11999999999999998,"(41.85, -10.95, 7.986)","(50.85, 10.35, 90.024)","(38.1, 22.05, 77.924)","(18.3, -5.1, 28.314)","(10.5, -17.55, 42.592)","(0.3, -7.5, 25.894)","(-3.15, -10.05, 43.076)","(9.0, -14.4, 29.04)","(2.7, -21.0, 35.09)"
13,0.12999999999999998,"(42.45, -12.0, 8.228)","(51.45, 9.45, 90.266)","(37.95, 21.15, 77.682)","(18.15, -5.1, 27.346)","(10.8, -17.1, 42.834)","(2.25, -9.0, 26.378)","(-2.85, -10.95, 40.898)","(8.25, -13.5, 31.218)","(1.2, -23.1, 33.638)"
14,0.13999999999999999,"(41.1, -11.7, 8.228)","(53.55, 8.4, 93.17)","(37.35, 20.7, 77.44)","(17.1, -6.0, 29.282)","(9.3, -17.4, 41.866)","(2.1, -7.8, 28.798)","(-6.15, -10.2, 42.592)","(7.35, -13.5, 29.524)","(3.6, -23.25, 33.88)"
15,0.15,"(41.4, -12.45, 8.712)","(51.75, 7.95, 92.202)","(37.2, 21.75, 77.44)","(17.25, -4.95, 29.282)","(11.85, -17.25, 44.528)","(0.75, -9.0, 25.894)","(-4.65, -10.5, 43.076)","(9.0, -13.65, 30.25)","(2.7, -21.45, 34.122)"
16,0.16,"(42.9, -11.55, 7.986)","(52.65, 11.4, 90.266)","(36.3, 20.25, 78.65)","(15.9, -5.25, 26.862)","(11.4, -18.9, 42.592)","(1.5, -6.9, 27.346)","(-4.65, -10.5, 43.076)","(7.95, -13.2, 28.798)","(3.3, -21.75, 34.606)"
17,0.17,"(41.85, -12.0, 8.228)","(52.5, 10.65, 91.718)","(37.8, 21.9, 77.924)","(18.15, -4.5, 29.766)","(10.05, -17.55, 42.592)","(1.05, -7.95, 24.684)","(-4.8, -10.35, 45.254)","(9.15, -14.4, 27.588)","(3.6, -22.05, 32.67)"
18,0.18000000000000002,"(43.05, -15.9, 7.502)","(51.9, 9.9, 92.444)","(37.5, 20.7, 78.65)","(17.85, -6.6, 29.524)","(10.35, -18.15, 41.624)","(2.55, -9.3, 25.894)","(-3.45, -9.9, 42.592)","(9.15, -13.05, 30.492)","(2.55, -21.75, 34.122)"
19,0.19000000000000003,"(40.5, -11.7, 8.228)","(50.85, 10.2, 89.782)","(37.5, 20.55, 78.892)","(15.9, -6.9, 28.798)","(9.9, -16.8, 41.14)","(2.55, -8.25, 26.62)","(-3.3, -9.9, 42.592)","(7.65, -13.95, 32.186)","(3.75, -21.45, 35.332)"
20,0.20000000000000004,"(41.55, -13.8, 8.954)","(50.85, 8.85, 90.024)","(36.75, 20.7, 77.924)","(18.9, -5.85, 28.072)","(9.6, -15.45, 43.318)","(0.15, -6.45, 24.926)","(-2.1, -10.65, 42.35)","(9.15, -13.05, 31.46)","(1.05, -22.5, 34.606)"
21,0.21000000000000005,"(39.45, -9.9, 9.438)","(51.3, 8.85, 91.234)","(38.25, 21.3, 76.956)","(16.65, -7.8, 30.492)","(11.55, -17.4, 43.318)","(1.5, -9.0, 27.104)","(-4.8, -8.55, 39.688)","(8.7, -13.5, 29.524)","(3.3, -23.25, 36.3)"
22,0.22000000000000006,"(41.4, -13.8, 9.922)","(50.55, 9.3, 90.992)","(37.5, 21.6, 77.198)","(17.25, -4.05, 26.862)","(11.7, -17.25, 42.834)","(0.9, -7.95, 28.314)","(-3.9, -8.7, 43.56)","(8.55, -12.45, 30.492)","(1.8, -23.7, 34.122)"
23,0.23000000000000007,"(43.2, -10.5, 7.744)","(50.1, 9.0, 90.024)","(38.55, 21.75, 78.408)","(17.55, -5.85, 27.83)","(11.1, -16.8, 40.414)","(1.2, -7.8, 27.83)","(-3.9, -10.2, 41.866)","(9.0, -13.5, 31.218)","(2.1, -21.6, 36.3)"
24,0.24000000000000007,"(42.0, -12.45, 10.406)","(54.3, 10.05, 90.024)","(37.5, 21.0, 76.956)","(16.5, -7.35, 25.168)","(10.2, -16.95, 43.076)","(1.65, -7.35, 27.346)","(-3.75, -10.05, 41.866)","(7.65, -13.8, 29.524)","(3.15, -21.9, 33.638)"
25,0.25000000000000006,"(41.25, -14.7, 9.196)","(52.65, 10.05, 91.476)","(37.8, 21.0, 78.892)","(18.45, -4.05, 29.524)","(10.35, -17.1, 41.866)","(1.8, -7.5, 25.894)","(-4.8, -10.35, 40.898)","(9.45, -13.2, 28.314)","(1.5, -23.1, 37.026)"
26,0.26000000000000006,"(43.2, -11.55, 8.228)","(51.3, 9.75, 93.896)","(37.65, 21.6, 77.924)","(16.35, -6.0, 27.104)","(11.4, -15.6, 42.108)","(0.3, -7.05, 26.862)","(-4.05, -9.9, 41.866)","(7.95, -14.4, 30.008)","(3.9, -22.8, 35.09)"
27,0.2700000000000001,"(39.9, -13.35, 8.712)","(51.0, 8.55, 89.298)","(37.2, 20.85, 78.65)","(17.4, -6.6, 26.62)","(9.3, -18.0, 43.076)","(2.55, -8.85, 25.41)","(-2.85, -11.1, 41.382)","(9.0, -13.2, 28.798)","(2.25, -21.75, 35.09)"
28,0.2800000000000001,"(42.15, -10.5, 8.712)","(50.85, 9.6, 90.024)","(37.65, 21.9, 76.23)","(17.55, -4.95, 29.524)","(10.35, -17.55, 43.56)","(1.2, -7.8, 29.04)","(-5.25, -10.95, 43.318)","(8.25, -12.75, 29.766)","(2.7, -22.05, 36.3)"
29,0.2900000000000001,"(42.15, -12.45, 8.712)","(52.35, 8.55, 91.476)","(37.5, 20.7, 77.198)","(17.4, -6.45, 27.588)","(9.75, -17.1, 43.802)","(1.95, -7.65, 24.442)","(-5.1, -10.95, 42.108)","(9.0, -11.85, 28.798)","(2.55, -23.7, 32.67)"
30,0.3000000000000001,"(40.95, -13.35, 7.986)","(51.75, 9.45, 90.992)","(37.5, 20.4, 79.134)","(17.4, -6.6, 27.346)","(12.0, -15.0, 42.834)","(0.75, -8.55, 24.926)","(-3.75, -10.05, 41.866)","(10.2, -11.55, 28.556)","(1.95, -21.9, 34.606)"
31,0.3100000000000001,"(41.7, -13.65, 8.228)","(51.15, 8.85, 90.508)","(36.9, 21.15, 78.166)","(16.95, -7.8, 27.346)","(10.65, -14.7, 44.528)","(0.75, -8.4, 27.104)","(-2.4, -11.7, 42.834)","(9.75, -11.85, 29.04)","(3.15, -21.45, 34.122)"
32,0.3200000000000001,"(43.8, -13.35, 8.47)","(51.75, 10.2, 89.782)","(36.75, 21.45, 77.198)","(17.7, -4.95, 29.04)","(12.75, -15.75, 45.496)","(0.6, -7.05, 26.136)","(-2.7, -9.9, 40.898)","(9.75, -12.15, 29.524)","(1.8, -21.75, 35.574)"
33,0.3300000000000001,"(43.8, -12.45, 7.986)","(50.85, 9.0, 90.508)","(35.85, 20.1, 77.44)","(15.9, -6.6, 27.104)","(11.7, -14.7, 42.834)","(2.25, -8.4, 29.282)","(-3.75, -10.2, 44.044)","(8.55, -14.1, 30.008)","(0.75, -22.95, 35.574)"
34,0.34000000000000014,"(42.3, -13.2, 7.26)","(53.1, 10.65, 88.814)","(36.45, 20.4, 77.44)","(18.45, -6.75, 30.734)","(11.1, -15.3, 42.35)","(0.45, -8.55, 26.62)","(-2.85, -10.8, 43.56)","(9.6, -12.6, 29.282)","(2.55, -21.45, 33.396)"
35,0.35000000000000014,"(43.35, -10.65, 8.228)","(51.0, 9.0, 90.992)","(36.9, 21.3, 77.924)","(17.1, -5.25, 26.378)","(9.9, -16.05, 44.286)","(2.4, -7.95, 28.556)","(-4.35, -10.8, 45.496)","(9.0, -13.5, 28.556)","(3.15, -21.0, 34.848)"
36,0.36000000000000015,"(40.5, -13.05, 8.47)","(52.2, 7.05, 91.96)","(37.35, 20.7, 78.408)","(16.65, -4.8, 27.104)","(9.6, -18.15, 41.382)","(1.35, -8.25, 26.862)","(-3.3, -9.75, 44.528)","(7.2, -11.85, 31.218)","(1.95, -22.5, 34.606)"
37,0.37000000000000016,"(41.1, -12.45, 6.534)","(52.8, 9.3, 89.782)","(37.8, 19.95, 77.682)","(17.25, -5.85, 27.588)","(9.15, -17.1, 42.834)","(0.75, -8.1, 26.62)","(-3.3, -9.45, 42.108)","(7.95, -13.65, 31.218)","(0.75, -20.7, 36.542)"
38,0.38000000000000017,"(41.55, -11.4, 8.47)","(51.9, 8.7, 89.54)","(37.65, 20.55, 78.166)","(18.15, -5.7, 31.702)","(11.4, -17.25, 42.834)","(1.2, -8.55, 25.894)","(-4.05, -10.65, 41.624)","(9.45, -11.7, 32.186)","(1.95, -22.65, 35.332)"
39,0.3900000000000002,"(42.75, -13.2, 8.712)","(50.55, 8.7, 89.54)","(36.75, 21.15, 78.408)","(16.2, -6.75, 27.83)","(10.05, -17.1, 41.14)","(2.4, -8.55, 27.588)","(-4.5, -9.6, 44.044)","(9.15, -12.45, 30.008)","(1.8, -21.75, 33.154)"
40,0.4000000000000002,"(41.55, -12.9, 11.132)","(50.4, 10.2, 91.476)","(36.6, 21.15, 75.988)","(17.55, -4.5, 29.282)","(11.4, -17.55, 40.414)","(1.2, -7.05, 29.282)","(-4.05, -10.35, 41.382)","(8.25, -12.0, 32.67)","(2.55, -21.15, 35.332)"
