,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
0,0.0,"(54.75, 15.15, 47.19)","(36.45, -14.4, 65.824)","(22.95, 6.0, 55.66)","(16.95, -4.8, 27.346)","(9.15, -16.35, 42.35)","(0.9, -6.45, 27.588)","(-1.35, -8.85, 39.93)","(8.25, -9.75, 28.798)","(2.85, -19.2, 35.574)"
1,0.01,"(58.05, 9.3, 48.884)","(34.5, -13.65, 64.13)","(23.85, 3.15, 60.742)","(18.0, -4.2, 28.072)","(9.45, -15.6, 41.866)","(2.55, -5.1, 25.894)","(-2.4, -9.3, 41.14)","(8.4, -6.9, 28.798)","(2.25, -18.9, 36.3)"
2,0.02,"(58.5, 9.9, 47.674)","(33.9, -12.3, 61.71)","(22.2, 3.75, 55.902)","(16.5, -6.75, 28.556)","(9.75, -15.6, 41.866)","(1.95, -5.85, 26.862)","(-2.7, -9.45, 41.14)","(8.55, -7.8, 29.766)","(1.2, -17.55, 35.332)"
3,0.03,"(57.6, 8.7, 50.82)","(34.8, -13.2, 64.614)","(22.65, 1.65, 56.87)","(15.9, -5.85, 29.282)","(10.95, -16.2, 41.14)","(4.35, -8.7, 26.862)","(-2.1, -9.0, 39.688)","(8.25, -7.35, 28.798)","(4.05, -18.6, 35.816)"
4,0.04,"(56.4, 10.65, 45.738)","(35.1, -12.15, 64.856)","(22.35, 4.35, 54.934)","(17.1, -6.6, 30.734)","(11.4, -16.95, 43.802)","(3.75, -8.85, 26.62)","(-2.85, -9.6, 41.866)","(10.05, -8.55, 28.798)","(1.35, -19.5, 36.3)"
5,0.05,"(55.65, 7.8, 48.642)","(37.8, -13.95, 63.404)","(22.35, 4.2, 57.354)","(18.15, -6.3, 27.104)","(10.8, -16.35, 42.35)","(5.85, -9.6, 25.894)","(-0.6, -7.35, 42.592)","(8.7, -8.1, 28.798)","(2.55, -18.0, 33.396)"
6,0.060000000000000005,"(56.7, 9.15, 46.222)","(34.2, -12.75, 65.582)","(23.1, 5.1, 55.418)","(18.45, -5.85, 27.104)","(9.75, -15.9, 44.77)","(4.8, -7.95, 27.588)","(-2.4, -7.2, 40.898)","(9.6, -8.7, 28.556)","(1.95, -18.3, 34.364)"
7,0.07,"(56.1, 8.55, 44.286)","(35.1, -14.25, 63.646)","(22.05, 4.8, 56.386)","(16.2, -4.5, 27.346)","(10.8, -15.15, 43.318)","(4.5, -5.4, 25.168)","(-3.15, -9.15, 41.14)","(7.2, -7.8, 28.798)","(2.1, -18.3, 34.364)"
8,0.08,"(56.25, 9.75, 44.528)","(34.95, -13.8, 65.098)","(22.95, 1.35, 58.806)","(18.0, -5.55, 27.83)","(12.45, -13.8, 42.108)","(3.15, -4.35, 26.378)","(-1.65, -7.8, 41.382)","(9.9, -8.85, 30.492)","(4.95, -18.15, 32.428)"
9,0.09,"(58.95, 8.55, 42.35)","(35.85, -13.95, 64.13)","(23.25, 6.0, 56.144)","(16.8, -3.45, 30.008)","(11.55, -14.4, 42.108)","(1.35, -4.5, 27.588)","(-3.45, -6.45, 40.898)","(7.8, -8.25, 28.798)","(1.8, -17.85, 32.67)"
10,0.09999999999999999,"(60.45, 10.2, 50.82)","(34.65, -12.0, 62.92)","(21.3, 5.55, 53.966)","(16.35, -5.7, 29.524)","(10.8, -15.15, 44.044)","(1.65, -3.75, 27.346)","(-2.55, -6.3, 41.624)","(9.45, -8.1, 29.524)","(0.75, -19.8, 36.3)"
11,0.10999999999999999,"(58.95, 11.55, 50.82)","(35.25, -14.55, 66.55)","(24.15, 3.6, 57.354)","(16.95, -5.1, 29.524)","(9.3, -14.55, 41.14)","(2.25, -4.8, 29.04)","(-2.1, -7.05, 42.592)","(10.5, -8.85, 29.524)","(2.55, -19.65, 33.638)"
12,0.11999999999999998,"(59.1, 8.55, 45.254)","(34.35, -11.55, 64.372)","(23.55, 4.2, 55.418)","(17.7, -6.0, 27.83)","(9.3, -15.45, 43.318)","(2.25, -6.0, 26.862)","(-1.35, -7.65, 42.108)","(7.95, -9.0, 31.46)","(2.25, -17.85, 34.848)"
13,0.12999999999999998,"(56.25, 10.2, 48.158)","(34.35, -14.4, 64.614)","(22.95, 3.9, 57.838)","(16.95, -6.3, 26.62)","(9.45, -16.35, 43.076)","(3.15, -7.05, 28.798)","(-2.55, -7.05, 39.688)","(7.35, -9.6, 30.008)","(2.25, -18.9, 34.606)"
14,0.13999999999999999,"(57.3, 7.5, 46.706)","(34.05, -14.7, 64.13)","(21.75, 4.65, 52.272)","(15.9, -4.95, 28.314)","(10.95, -16.35, 44.77)","(1.95, -5.1, 26.136)","(-2.85, -7.35, 38.478)","(6.75, -7.8, 29.524)","(2.25, -19.05, 37.026)"
15,0.15,"(57.75, 12.0, 44.77)","(35.1, -14.25, 63.162)","(21.75, 5.4, 57.112)","(17.7, -3.45, 27.104)","(9.3, -14.4, 41.14)","(1.95, -4.8, 27.346)","(-2.25, -6.45, 43.802)","(8.55, -8.25, 30.976)","(2.4, -17.55, 34.364)"
16,0.16,"(55.8, 10.65, 45.496)","(34.65, -14.7, 66.066)","(22.35, 3.9, 55.418)","(16.35, -4.95, 26.378)","(10.5, -12.75, 42.834)","(0.3, -6.0, 29.282)","(-2.4, -8.25, 43.076)","(7.65, -8.7, 29.524)","(1.65, -18.9, 35.816)"
17,0.17,"(57.6, 12.9, 51.546)","(34.8, -10.8, 65.824)","(21.75, 6.75, 57.112)","(16.05, -5.1, 29.524)","(11.1, -15.3, 42.834)","(4.05, -4.5, 25.894)","(-1.8, -6.9, 42.834)","(8.55, -8.1, 30.25)","(2.4, -18.45, 34.364)"
18,0.18000000000000002,"(56.25, 10.2, 45.012)","(36.3, -14.85, 63.888)","(21.0, 5.1, 54.692)","(17.85, -5.4, 28.072)","(10.8, -14.25, 41.14)","(3.75, -6.75, 28.314)","(-2.7, -7.05, 43.318)","(7.95, -7.05, 31.702)","(4.05, -18.3, 34.606)"
19,0.19000000000000003,"(53.7, 9.3, 45.98)","(36.0, -12.75, 64.614)","(23.55, 2.55, 54.208)","(16.35, -5.1, 24.684)","(10.35, -16.05, 41.624)","(1.65, -4.65, 27.588)","(-1.35, -7.65, 40.414)","(9.9, -9.0, 30.008)","(3.6, -18.15, 34.606)"
20,0.20000000000000004,"(55.65, 10.35, 41.866)","(36.15, -15.75, 64.372)","(21.9, 5.4, 55.66)","(15.9, -6.3, 25.652)","(9.9, -15.15, 41.382)","(1.8, -7.2, 27.588)","(-2.85, -8.25, 41.866)","(8.25, -7.2, 32.428)","(3.6, -19.8, 34.364)"
21,0.21000000000000005,"(58.35, 10.95, 48.158)","(34.95, -14.7, 67.034)","(24.3, 2.7, 58.806)","(17.55, -5.7, 28.314)","(10.2, -16.35, 41.624)","(3.9, -5.85, 27.346)","(-3.45, -9.45, 41.382)","(10.35, -9.6, 29.766)","(2.4, -18.45, 35.816)"
