,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
0,0.0,"(70.65, 28.35, 76.23)","(56.1, 15.6, 92.202)","(5.1, -18.15, 26.136)","(17.7, -5.85, 27.346)","(11.25, -16.2, 41.866)","(1.8, -5.4, 26.62)","(-3.6, -8.55, 42.592)","(8.85, -12.9, 29.282)","(3.3, -19.8, 34.122)"
1,0.01,"(69.15, 32.1, 75.262)","(55.35, 12.9, 93.654)","(-0.3, -16.65, 23.474)","(17.25, -4.2, 26.62)","(11.1, -16.5, 39.204)","(0.6, -6.15, 27.588)","(-4.5, -10.2, 42.108)","(7.8, -13.65, 29.524)","(5.4, -21.3, 34.848)"
2,0.02,"(68.55, 28.2, 70.18)","(55.8, 13.65, 92.928)","(5.4, -15.45, 26.378)","(17.85, -5.7, 29.282)","(10.2, -15.75, 40.414)","(-0.45, -6.15, 25.41)","(-5.1, -9.9, 43.076)","(9.45, -12.0, 30.008)","(4.65, -20.7, 34.364)"
3,0.03,"(73.95, 29.1, 74.536)","(54.45, 15.3, 92.444)","(4.2, -12.75, 26.862)","(17.1, -6.75, 26.378)","(10.2, -15.45, 43.802)","(1.5, -5.55, 25.894)","(-3.6, -9.75, 40.656)","(8.55, -12.75, 28.798)","(3.45, -21.6, 33.88)"
4,0.04,"(70.5, 28.5, 74.536)","(51.9, 13.05, 93.654)","(6.15, -14.7, 24.684)","(15.9, -4.35, 29.766)","(9.45, -15.45, 39.688)","(-2.25, -7.05, 25.894)","(-6.15, -9.9, 40.898)","(8.85, -12.75, 31.218)","(4.65, -22.5, 34.606)"
5,0.05,"(68.1, 31.65, 77.44)","(56.85, 13.35, 90.992)","(5.55, -13.2, 21.78)","(16.35, -4.5, 27.588)","(10.8, -15.15, 40.898)","(0.6, -6.6, 26.862)","(-5.25, -11.25, 42.108)","(8.4, -12.15, 29.524)","(4.35, -20.85, 33.88)"
6,0.060000000000000005,"(70.5, 30.45, 76.23)","(54.0, 15.3, 93.17)","(2.1, -18.15, 27.346)","(17.4, -4.65, 27.588)","(10.35, -17.4, 42.108)","(0.45, -5.25, 25.652)","(-5.1, -7.5, 40.898)","(8.85, -13.8, 29.766)","(3.75, -21.15, 35.816)"
7,0.07,"(70.95, 28.95, 70.664)","(53.55, 14.55, 90.024)","(-0.15, -15.45, 25.41)","(17.1, -6.15, 28.314)","(9.3, -14.55, 41.382)","(-1.2, -5.25, 24.442)","(-3.6, -10.05, 40.898)","(9.6, -13.05, 30.734)","(4.05, -22.2, 34.122)"
8,0.08,"(70.35, 31.35, 73.568)","(55.95, 13.8, 95.832)","(-1.95, -18.45, 26.62)","(16.8, -5.85, 28.314)","(9.45, -15.9, 39.688)","(0.75, -6.15, 28.314)","(-4.05, -10.35, 41.14)","(8.85, -12.3, 30.734)","(3.3, -22.2, 36.058)"
9,0.09,"(72.0, 33.75, 77.924)","(53.7, 14.85, 94.38)","(1.05, -17.55, 22.022)","(18.0, -6.9, 26.62)","(9.3, -14.55, 43.56)","(-1.65, -3.75, 24.684)","(-4.35, -8.25, 41.624)","(8.7, -12.9, 30.492)","(2.85, -21.0, 34.606)"
10,0.09999999999999999,"(75.6, 29.7, 76.956)","(53.25, 14.4, 95.348)","(6.6, -18.9, 24.442)","(18.45, -6.0, 28.072)","(10.8, -16.5, 42.834)","(-0.3, -7.2, 25.41)","(-4.95, -10.8, 41.382)","(9.15, -15.3, 30.734)","(3.75, -20.7, 37.026)"
11,0.10999999999999999,"(70.8, 29.1, 75.504)","(54.6, 14.7, 94.864)","(4.95, -20.25, 25.168)","(18.15, -4.65, 27.346)","(10.8, -15.6, 42.834)","(1.05, -5.85, 24.684)","(-6.15, -8.7, 40.414)","(7.05, -12.45, 31.46)","(3.15, -20.85, 35.09)"
12,0.11999999999999998,"(71.1, 28.05, 77.44)","(55.05, 15.45, 95.59)","(4.65, -19.05, 28.556)","(18.75, -5.25, 28.798)","(10.65, -16.05, 41.382)","(0.75, -4.8, 24.684)","(-5.7, -8.4, 41.866)","(8.85, -13.2, 30.008)","(2.25, -20.4, 34.606)"
13,0.12999999999999998,"(71.55, 30.9, 74.052)","(54.6, 14.1, 93.654)","(5.7, -13.65, 24.2)","(16.95, -6.3, 28.072)","(10.95, -16.05, 42.834)","(0.15, -5.4, 26.62)","(-4.35, -9.9, 42.592)","(9.45, -12.45, 31.702)","(3.6, -20.7, 33.396)"
14,0.13999999999999999,"(73.65, 32.1, 79.376)","(56.4, 12.45, 96.8)","(5.1, -16.8, 29.524)","(17.4, -4.95, 28.314)","(10.05, -15.75, 43.56)","(-0.15, -7.05, 27.346)","(-4.8, -10.65, 42.35)","(7.2, -13.05, 32.67)","(4.5, -20.7, 34.848)"
15,0.15,"(72.15, 32.25, 80.344)","(55.65, 15.0, 94.38)","(7.35, -14.7, 22.264)","(16.8, -6.0, 29.04)","(10.2, -15.6, 43.318)","(1.65, -4.35, 28.798)","(-4.35, -10.95, 42.35)","(9.75, -13.05, 33.638)","(3.9, -20.1, 35.332)"
16,0.16,"(71.55, 32.7, 77.682)","(52.2, 15.75, 89.056)","(4.35, -15.15, 27.104)","(16.95, -6.45, 26.62)","(10.65, -14.7, 45.496)","(-0.6, -6.0, 24.2)","(-4.2, -10.05, 40.656)","(8.4, -12.6, 30.734)","(4.65, -20.85, 33.88)"
17,0.17,"(72.9, 30.6, 74.294)","(55.05, 12.45, 90.024)","(5.55, -15.0, 25.894)","(17.25, -5.25, 28.314)","(11.7, -16.2, 45.012)","(-0.45, -4.65, 25.894)","(-4.5, -9.45, 40.656)","(9.9, -12.3, 30.008)","(3.0, -19.8, 33.88)"
