,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
0,0.0,"(42.45, -10.2, 17.424)","(18.15, -36.9, 35.09)","(40.65, 25.8, 83.006)","(16.05, -3.15, 30.492)","(9.75, -13.65, 40.656)","(0.9, -4.2, 26.378)","(-2.55, -9.0, 41.382)","(8.25, -10.95, 31.218)","(2.55, -20.25, 33.396)"
1,0.01,"(41.25, -9.0, 18.876)","(17.4, -37.2, 33.396)","(39.9, 24.6, 79.86)","(16.8, -3.75, 28.072)","(11.7, -16.2, 41.14)","(1.5, -6.15, 24.442)","(-4.2, -9.0, 38.962)","(9.75, -10.2, 30.734)","(3.45, -21.3, 31.944)"
2,0.02,"(42.75, -11.7, 17.666)","(16.35, -38.55, 30.734)","(39.45, 25.2, 83.248)","(15.15, -3.75, 28.798)","(9.9, -15.0, 42.834)","(2.55, -5.55, 26.136)","(-3.0, -8.4, 40.898)","(9.45, -10.65, 33.154)","(3.15, -19.2, 31.944)"
3,0.03,"(42.6, -10.35, 17.666)","(14.7, -37.5, 34.364)","(42.45, 22.5, 83.006)","(16.05, -3.75, 28.556)","(10.8, -14.55, 40.414)","(1.65, -6.6, 26.62)","(-3.15, -8.7, 41.14)","(9.45, -10.8, 29.524)","(3.15, -19.8, 34.364)"
4,0.04,"(43.5, -9.6, 16.456)","(15.75, -38.7, 37.994)","(40.8, 22.65, 81.554)","(16.5, -2.85, 26.378)","(11.4, -12.3, 42.834)","(1.5, -5.55, 24.684)","(-3.3, -9.45, 41.382)","(10.8, -10.05, 29.04)","(3.3, -18.9, 33.88)"
5,0.05,"(43.05, -11.55, 16.698)","(18.0, -38.25, 40.656)","(39.9, 22.35, 84.216)","(15.75, -4.65, 30.008)","(10.5, -15.0, 41.14)","(1.65, -5.4, 27.346)","(-3.0, -8.55, 42.35)","(8.7, -10.8, 28.314)","(2.55, -19.2, 33.88)"
6,0.060000000000000005,"(44.4, -10.8, 18.634)","(20.1, -37.8, 31.702)","(40.5, 24.15, 81.796)","(17.4, -3.75, 29.04)","(10.95, -15.6, 43.076)","(0.75, -7.65, 24.926)","(-2.1, -9.6, 40.656)","(10.05, -10.2, 28.798)","(4.65, -20.55, 36.058)"
7,0.07,"(43.05, -11.25, 17.424)","(16.8, -37.65, 33.88)","(41.1, 24.45, 82.038)","(17.55, -3.45, 27.83)","(11.25, -14.85, 40.898)","(2.85, -4.65, 26.136)","(-2.55, -10.2, 39.688)","(7.2, -8.4, 30.734)","(2.25, -19.95, 34.122)"
8,0.08,"(42.3, -9.75, 19.844)","(18.15, -38.85, 35.816)","(41.7, 26.1, 79.86)","(17.7, -4.8, 29.766)","(11.1, -16.05, 41.14)","(2.25, -5.25, 27.104)","(-1.65, -8.1, 40.656)","(10.35, -10.8, 30.734)","(3.6, -20.7, 32.67)"
9,0.09,"(42.6, -10.05, 17.908)","(19.8, -38.85, 33.638)","(41.55, 24.3, 77.682)","(17.4, -2.1, 27.588)","(10.8, -14.25, 41.382)","(1.65, -6.45, 24.926)","(-3.6, -10.05, 39.446)","(10.2, -10.05, 29.282)","(2.4, -20.55, 35.332)"
10,0.09999999999999999,"(43.05, -12.3, 17.666)","(17.25, -35.85, 35.816)","(41.4, 25.5, 80.586)","(17.55, -2.55, 30.008)","(9.9, -14.85, 40.656)","(0.9, -7.8, 24.926)","(-2.55, -9.45, 39.93)","(9.45, -9.75, 28.798)","(2.7, -19.35, 33.396)"
11,0.10999999999999999,"(42.9, -11.25, 15.004)","(17.25, -35.85, 36.542)","(42.0, 24.6, 81.312)","(15.15, -3.45, 28.314)","(11.4, -14.1, 41.382)","(0.9, -5.55, 22.99)","(-4.05, -10.5, 41.624)","(9.75, -9.15, 30.976)","(4.2, -21.6, 34.606)"
12,0.11999999999999998,"(42.45, -10.2, 18.392)","(20.1, -36.3, 33.154)","(41.1, 25.2, 79.134)","(19.2, -3.15, 29.282)","(9.9, -14.7, 41.382)","(1.35, -6.15, 26.378)","(-3.15, -8.85, 41.624)","(9.9, -10.5, 30.25)","(3.3, -20.25, 36.3)"
13,0.12999999999999998,"(43.2, -10.35, 17.182)","(16.8, -37.35, 31.46)","(40.2, 23.7, 83.248)","(16.35, -4.5, 26.378)","(11.4, -14.25, 43.318)","(2.25, -5.7, 24.2)","(-2.25, -10.2, 41.382)","(10.35, -9.9, 29.766)","(3.0, -20.4, 35.574)"
14,0.13999999999999999,"(42.15, -10.8, 18.634)","(15.15, -36.45, 32.912)","(38.85, 24.15, 78.892)","(17.4, -2.25, 28.556)","(10.5, -15.15, 43.076)","(1.65, -6.45, 25.652)","(-2.55, -11.1, 43.076)","(10.35, -10.65, 29.524)","(3.3, -18.75, 34.606)"
15,0.15,"(43.05, -10.65, 17.182)","(17.55, -39.9, 30.976)","(39.75, 24.15, 78.408)","(16.95, -3.75, 28.556)","(9.9, -15.3, 42.834)","(1.8, -5.85, 23.716)","(-2.4, -8.55, 41.14)","(9.15, -10.05, 29.766)","(4.2, -20.25, 32.67)"
16,0.16,"(43.05, -10.8, 18.15)","(13.65, -37.05, 30.008)","(42.0, 25.05, 80.344)","(16.65, -3.75, 28.314)","(11.1, -14.55, 44.044)","(0.45, -6.6, 27.83)","(-5.4, -10.2, 41.382)","(8.85, -11.1, 27.588)","(3.15, -20.4, 37.752)"
17,0.17,"(43.8, -12.6, 15.972)","(17.7, -41.7, 30.976)","(40.05, 22.95, 84.458)","(17.7, -3.45, 25.894)","(10.2, -14.4, 42.35)","(0.6, -5.7, 28.314)","(-2.25, -9.6, 39.688)","(9.6, -10.95, 30.492)","(3.45, -20.55, 34.364)"
18,0.18000000000000002,"(42.75, -9.45, 18.15)","(17.4, -37.5, 30.976)","(40.65, 24.3, 81.07)","(16.35, -4.5, 28.072)","(10.8, -14.4, 40.656)","(2.55, -4.05, 25.652)","(-2.7, -10.05, 41.624)","(8.85, -9.9, 30.492)","(3.0, -20.1, 33.396)"
19,0.19000000000000003,"(44.1, -10.05, 16.94)","(17.7, -39.3, 36.784)","(42.0, 24.15, 80.828)","(17.55, -3.75, 27.83)","(9.45, -14.85, 41.382)","(0.75, -4.8, 25.41)","(-1.05, -9.45, 41.866)","(9.0, -10.65, 30.008)","(5.85, -19.8, 32.912)"
20,0.20000000000000004,"(42.0, -11.55, 17.908)","(15.3, -39.0, 34.122)","(39.75, 22.8, 79.376)","(15.45, -4.35, 28.556)","(11.4, -13.8, 41.382)","(2.25, -5.55, 27.104)","(-2.25, -10.2, 42.592)","(10.05, -9.45, 31.702)","(2.7, -21.6, 31.944)"
21,0.21000000000000005,"(43.8, -10.65, 17.908)","(19.35, -39.3, 37.994)","(41.85, 25.2, 83.49)","(16.35, -3.45, 27.588)","(11.25, -15.6, 42.834)","(2.85, -4.95, 25.41)","(-2.1, -8.1, 41.14)","(10.2, -9.3, 29.766)","(4.05, -20.1, 33.154)"
22,0.22000000000000006,"(43.35, -9.9, 18.876)","(17.25, -39.45, 34.848)","(40.65, 25.2, 82.038)","(15.3, -3.9, 28.072)","(10.05, -16.5, 42.834)","(2.55, -7.05, 26.862)","(-4.05, -9.6, 40.656)","(11.4, -8.55, 29.524)","(3.0, -20.55, 34.122)"
23,0.23000000000000007,"(43.2, -11.7, 18.15)","(18.6, -37.05, 37.51)","(39.6, 23.7, 80.586)","(18.6, -4.65, 27.588)","(9.3, -14.7, 42.108)","(1.35, -4.5, 25.41)","(-1.95, -9.6, 40.414)","(12.45, -8.55, 30.734)","(3.75, -20.55, 33.154)"
24,0.24000000000000007,"(42.6, -10.35, 18.876)","(18.15, -38.55, 34.848)","(39.15, 23.55, 79.618)","(17.85, -4.8, 27.83)","(10.2, -15.9, 43.318)","(1.95, -4.05, 24.684)","(-3.75, -10.05, 43.56)","(8.7, -12.15, 32.428)","(1.5, -21.0, 33.88)"
