,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
0,0.0,"(69.9, 30.45, 68.486)","(15.3, -37.5, 34.606)","(1.8, -17.7, 27.346)","(16.8, -4.5, 28.072)","(12.15, -15.0, 43.318)","(1.65, -4.95, 24.926)","(-2.25, -9.0, 40.172)","(8.55, -9.0, 26.378)","(2.85, -20.1, 31.46)"
1,0.01,"(71.55, 28.5, 75.988)","(14.85, -38.7, 32.67)","(1.8, -17.4, 27.83)","(17.1, -3.75, 28.314)","(11.55, -14.25, 43.318)","(2.25, -4.95, 25.652)","(-2.7, -7.05, 41.14)","(8.7, -10.2, 27.104)","(2.1, -20.25, 36.3)"
2,0.02,"(70.95, 30.9, 72.842)","(18.15, -39.3, 35.09)","(2.25, -12.6, 30.734)","(17.1, -6.45, 27.83)","(9.9, -16.35, 39.688)","(-0.45, -5.7, 27.588)","(-3.45, -7.2, 40.898)","(8.85, -10.2, 28.314)","(3.0, -21.6, 34.848)"
3,0.03,"(70.65, 29.4, 79.134)","(13.35, -38.55, 36.3)","(0.75, -15.0, 23.716)","(17.55, -6.75, 26.378)","(10.8, -14.4, 39.93)","(3.0, -5.85, 25.652)","(-2.25, -9.3, 43.318)","(9.3, -11.1, 29.766)","(3.9, -20.55, 35.332)"
4,0.04,"(71.1, 29.7, 75.02)","(16.95, -39.9, 36.784)","(4.2, -13.5, 24.684)","(17.25, -6.0, 26.378)","(10.8, -13.95, 43.56)","(3.15, -5.85, 28.314)","(-2.25, -7.65, 42.108)","(9.45, -9.9, 28.556)","(2.55, -19.65, 33.154)"
5,0.05,"(72.6, 28.95, 77.198)","(14.7, -39.15, 33.638)","(2.4, -16.8, 31.944)","(16.8, -4.2, 29.524)","(9.3, -14.4, 41.382)","(2.25, -5.4, 26.62)","(-2.7, -9.15, 40.656)","(8.4, -10.5, 30.734)","(1.35, -21.0, 34.848)"
6,0.060000000000000005,"(69.15, 30.45, 77.198)","(15.9, -38.55, 33.88)","(4.05, -14.85, 22.022)","(16.95, -4.65, 26.136)","(10.35, -13.35, 40.898)","(1.2, -5.1, 26.62)","(-1.8, -7.8, 41.14)","(10.05, -10.5, 28.798)","(3.3, -20.85, 32.428)"
7,0.07,"(72.9, 29.7, 76.23)","(14.55, -39.0, 33.638)","(7.5, -17.25, 30.008)","(18.15, -4.65, 27.346)","(10.95, -16.2, 41.624)","(3.6, -7.8, 25.41)","(-2.7, -7.95, 42.834)","(8.25, -9.9, 27.346)","(2.85, -22.65, 34.848)"
8,0.08,"(71.25, 30.6, 75.02)","(15.0, -39.9, 29.766)","(2.4, -20.1, 33.154)","(16.65, -4.35, 28.798)","(10.8, -14.85, 40.898)","(1.95, -5.1, 25.894)","(-2.4, -9.75, 42.108)","(9.3, -10.65, 27.83)","(3.3, -20.85, 33.88)"
9,0.09,"(71.85, 29.1, 75.262)","(16.5, -36.75, 36.784)","(-1.35, -15.45, 25.652)","(16.65, -5.25, 29.04)","(10.5, -14.4, 40.898)","(1.35, -6.75, 25.41)","(-4.5, -8.25, 43.802)","(9.45, -9.0, 29.282)","(3.15, -21.0, 34.122)"
10,0.09999999999999999,"(70.65, 30.15, 75.746)","(18.0, -37.35, 30.734)","(0.9, -15.45, 24.926)","(17.1, -5.85, 29.04)","(11.4, -14.85, 42.108)","(1.35, -5.4, 25.41)","(-2.25, -7.65, 39.688)","(8.55, -10.5, 28.072)","(4.05, -19.8, 31.944)"
11,0.10999999999999999,"(72.6, 29.85, 77.198)","(15.45, -37.65, 31.218)","(2.85, -8.55, 25.41)","(16.5, -3.75, 31.218)","(10.65, -15.9, 41.382)","(2.85, -6.15, 26.136)","(-3.75, -7.2, 42.108)","(7.8, -8.55, 29.04)","(1.8, -20.55, 36.784)"
12,0.11999999999999998,"(74.4, 29.7, 75.504)","(16.35, -38.1, 36.058)","(0.6, -16.65, 30.492)","(18.75, -5.25, 26.862)","(10.65, -13.8, 44.044)","(3.15, -5.85, 26.62)","(-4.8, -7.95, 40.414)","(9.3, -9.45, 28.556)","(3.3, -20.7, 33.88)"
13,0.12999999999999998,"(70.2, 30.75, 69.212)","(20.1, -36.3, 32.67)","(2.25, -14.7, 29.524)","(16.5, -6.45, 29.04)","(10.5, -14.4, 40.656)","(2.7, -6.15, 23.474)","(-1.95, -8.55, 40.656)","(8.1, -9.6, 29.766)","(3.9, -21.15, 33.396)"
14,0.13999999999999999,"(71.85, 31.95, 75.746)","(16.2, -40.2, 29.04)","(2.55, -16.95, 23.958)","(17.25, -4.8, 28.798)","(11.4, -13.8, 42.592)","(1.95, -4.5, 26.862)","(-1.5, -8.4, 41.866)","(9.75, -11.1, 30.25)","(3.6, -20.1, 31.702)"
15,0.15,"(73.2, 28.5, 74.294)","(16.95, -40.5, 33.638)","(-0.45, -15.0, 25.41)","(17.55, -4.65, 28.072)","(11.25, -13.5, 43.318)","(2.4, -6.0, 27.588)","(-3.6, -8.85, 40.898)","(8.25, -9.75, 29.766)","(1.65, -21.45, 31.46)"
16,0.16,"(70.65, 29.25, 74.536)","(15.9, -38.1, 32.186)","(1.5, -13.65, 22.022)","(18.3, -5.25, 30.25)","(10.2, -15.9, 41.14)","(2.7, -5.85, 26.62)","(-2.85, -7.8, 44.044)","(9.0, -9.15, 28.798)","(1.95, -20.7, 31.944)"
17,0.17,"(71.25, 28.35, 72.116)","(16.8, -37.65, 36.542)","(1.8, -16.65, 33.154)","(16.35, -5.1, 25.894)","(11.1, -16.8, 40.898)","(1.2, -5.4, 26.62)","(-2.25, -8.7, 41.866)","(9.45, -10.8, 29.04)","(3.6, -21.15, 33.88)"
18,0.18000000000000002,"(71.25, 30.15, 75.746)","(14.4, -39.3, 34.606)","(2.85, -16.2, 21.296)","(14.7, -4.8, 30.734)","(11.85, -15.6, 43.076)","(3.15, -5.55, 26.136)","(-3.45, -7.95, 43.076)","(9.45, -11.25, 28.798)","(1.5, -19.95, 31.46)"
19,0.19000000000000003,"(73.8, 32.55, 71.148)","(21.75, -39.15, 33.88)","(6.9, -15.0, 20.812)","(17.55, -3.9, 28.072)","(10.2, -15.6, 41.624)","(0.9, -4.95, 24.684)","(-2.4, -7.5, 42.35)","(10.05, -9.9, 29.766)","(2.7, -20.55, 34.848)"
20,0.20000000000000004,"(70.5, 34.05, 78.65)","(18.15, -37.95, 32.67)","(1.35, -18.0, 30.008)","(16.95, -5.1, 27.346)","(11.85, -14.85, 40.898)","(2.1, -4.95, 25.41)","(-3.75, -7.65, 42.592)","(7.05, -9.6, 29.282)","(1.35, -20.85, 33.88)"
21,0.21000000000000005,"(70.5, 31.35, 73.084)","(17.1, -40.2, 29.766)","(3.9, -15.0, 22.99)","(17.4, -3.6, 26.62)","(10.65, -14.1, 41.624)","(2.1, -4.2, 25.652)","(-3.9, -7.8, 43.56)","(9.45, -9.15, 29.04)","(2.4, -19.2, 35.332)"
22,0.22000000000000006,"(70.35, 29.55, 72.358)","(14.55, -37.8, 31.218)","(2.1, -14.85, 28.798)","(17.1, -5.7, 25.894)","(10.35, -14.55, 41.624)","(2.85, -4.2, 25.168)","(-3.0, -7.5, 43.076)","(9.3, -10.5, 30.492)","(2.85, -19.8, 34.364)"
23,0.23000000000000007,"(70.5, 31.65, 76.23)","(17.25, -39.0, 30.008)","(4.5, -17.55, 27.104)","(17.55, -6.6, 27.83)","(10.05, -14.4, 43.076)","(3.45, -4.95, 26.378)","(-1.95, -7.8, 42.834)","(9.45, -9.75, 30.008)","(3.75, -20.4, 33.638)"
24,0.24000000000000007,"(72.9, 32.4, 72.6)","(16.8, -39.3, 35.816)","(4.35, -16.95, 24.442)","(18.75, -3.75, 28.798)","(10.2, -14.1, 43.56)","(1.5, -3.75, 26.62)","(-3.0, -9.9, 41.624)","(9.45, -8.4, 28.798)","(2.85, -22.35, 33.638)"
25,0.25000000000000006,"(72.75, 31.65, 73.568)","(15.9, -36.75, 31.944)","(6.3, -17.1, 29.04)","(16.95, -4.65, 27.104)","(9.9, -14.7, 40.656)","(3.15, -6.15, 24.684)","(-2.7, -8.25, 41.624)","(9.9, -8.55, 29.766)","(4.65, -20.55, 35.09)"
26,0.26000000000000006,"(71.55, 29.1, 77.44)","(13.5, -39.3, 33.88)","(3.15, -16.05, 30.008)","(18.15, -5.4, 27.346)","(11.4, -15.3, 44.286)","(1.5, -5.4, 27.104)","(-2.1, -6.0, 41.14)","(8.4, -9.6, 27.83)","(3.15, -21.0, 33.396)"
27,0.2700000000000001,"(70.65, 32.55, 76.714)","(15.3, -38.25, 33.88)","(3.3, -19.05, 25.168)","(16.65, -5.4, 27.104)","(10.05, -14.7, 41.866)","(0.15, -5.55, 28.798)","(-1.35, -8.25, 40.414)","(9.3, -11.1, 28.314)","(3.45, -20.25, 33.396)"
28,0.2800000000000001,"(71.1, 29.25, 73.81)","(16.95, -40.5, 29.282)","(3.75, -18.45, 30.25)","(16.65, -6.15, 27.83)","(11.55, -14.25, 41.382)","(1.95, -6.75, 22.99)","(-3.3, -8.25, 41.382)","(9.3, -10.35, 27.346)","(3.9, -20.55, 33.638)"
29,0.2900000000000001,"(70.35, 28.95, 73.568)","(15.9, -39.0, 36.3)","(-1.8, -16.5, 26.136)","(17.4, -3.15, 27.104)","(10.05, -16.05, 42.834)","(0.6, -6.6, 24.926)","(-1.95, -8.55, 41.624)","(9.9, -9.9, 29.282)","(3.75, -21.3, 33.638)"
30,0.3000000000000001,"(70.35, 29.25, 77.682)","(17.7, -39.0, 30.008)","(3.45, -16.8, 23.716)","(18.75, -3.15, 28.072)","(11.25, -14.1, 42.35)","(0.9, -5.55, 25.168)","(-3.75, -7.8, 41.14)","(8.7, -8.85, 28.798)","(3.15, -21.0, 36.542)"
31,0.3100000000000001,"(70.35, 32.1, 73.568)","(17.55, -39.6, 32.186)","(7.65, -20.85, 32.428)","(16.8, -5.1, 26.862)","(10.8, -16.2, 40.656)","(3.15, -4.65, 23.958)","(-2.7, -6.9, 40.656)","(10.65, -8.7, 29.766)","(2.55, -20.25, 33.88)"
32,0.3200000000000001,"(68.55, 31.65, 71.632)","(17.85, -38.7, 29.524)","(2.4, -16.5, 28.314)","(16.5, -5.4, 27.83)","(10.35, -14.25, 40.898)","(0.9, -5.7, 26.862)","(-3.45, -8.85, 41.624)","(8.7, -9.45, 30.008)","(3.75, -21.6, 34.606)"
33,0.3300000000000001,"(69.0, 31.65, 77.198)","(16.05, -36.9, 34.606)","(2.4, -14.1, 32.67)","(16.05, -6.3, 27.588)","(11.25, -15.3, 41.624)","(3.3, -5.4, 25.894)","(-1.05, -8.1, 42.592)","(9.9, -8.25, 29.524)","(3.45, -20.25, 32.912)"
34,0.34000000000000014,"(69.45, 29.85, 72.842)","(16.35, -40.05, 28.798)","(-2.25, -16.5, 27.588)","(17.25, -4.05, 30.976)","(9.6, -15.6, 40.898)","(3.0, -6.3, 26.378)","(-2.85, -8.25, 41.866)","(9.6, -8.55, 28.072)","(1.95, -18.6, 33.396)"
35,0.35000000000000014,"(73.65, 30.0, 73.084)","(19.35, -40.5, 35.574)","(4.5, -15.0, 30.734)","(16.8, -4.2, 28.072)","(10.95, -14.85, 41.382)","(1.65, -4.35, 27.346)","(-3.15, -8.85, 41.382)","(9.15, -10.95, 28.798)","(3.15, -19.5, 33.154)"
36,0.36000000000000015,"(70.5, 31.65, 77.924)","(15.45, -41.4, 30.492)","(1.05, -16.95, 29.04)","(16.95, -5.4, 27.588)","(10.95, -14.4, 43.076)","(2.25, -5.85, 24.442)","(-2.4, -7.8, 42.834)","(10.65, -9.0, 27.346)","(3.3, -19.8, 33.88)"
37,0.37000000000000016,"(72.3, 28.65, 75.746)","(17.1, -38.1, 34.606)","(2.55, -16.2, 26.378)","(18.6, -4.95, 28.314)","(10.8, -16.5, 40.898)","(1.8, -5.1, 27.83)","(-3.15, -9.45, 41.14)","(8.55, -9.15, 28.798)","(2.55, -21.3, 32.912)"
38,0.38000000000000017,"(69.75, 33.3, 74.052)","(15.3, -40.05, 30.976)","(2.85, -18.0, 30.25)","(16.2, -5.7, 27.346)","(9.75, -15.0, 42.108)","(1.35, -6.3, 24.684)","(-2.7, -9.0, 40.414)","(9.3, -8.25, 31.702)","(1.95, -19.2, 32.912)"
39,0.3900000000000002,"(69.75, 33.45, 74.536)","(14.7, -38.25, 37.268)","(-0.3, -16.2, 23.232)","(16.8, -6.3, 27.346)","(10.05, -16.2, 41.14)","(1.2, -4.2, 27.104)","(-2.25, -7.5, 40.656)","(10.35, -10.05, 27.83)","(2.55, -20.25, 35.574)"
40,0.4000000000000002,"(71.1, 32.25, 69.938)","(17.55, -39.3, 36.058)","(5.55, -15.6, 23.958)","(17.55, -5.55, 27.346)","(11.85, -14.7, 42.834)","(2.4, -7.05, 27.588)","(-2.4, -8.25, 41.382)","(9.45, -11.25, 29.282)","(4.35, -20.55, 33.88)"
41,0.4100000000000002,"(70.65, 30.0, 75.746)","(16.2, -36.75, 35.09)","(1.95, -15.6, 29.282)","(16.35, -5.25, 27.83)","(9.0, -15.75, 41.382)","(3.15, -5.25, 24.2)","(-2.85, -8.7, 42.592)","(9.45, -9.75, 30.008)","(3.15, -22.65, 32.912)"
42,0.4200000000000002,"(72.9, 31.65, 79.376)","(19.2, -38.1, 37.51)","(1.95, -15.45, 22.264)","(16.5, -4.95, 27.83)","(10.35, -14.4, 41.382)","(4.05, -5.25, 23.716)","(-2.7, -8.55, 41.624)","(8.85, -9.6, 27.83)","(3.75, -20.7, 33.154)"
43,0.4300000000000002,"(72.75, 32.55, 74.778)","(16.8, -40.35, 36.058)","(4.2, -17.55, 28.072)","(17.1, -4.8, 29.524)","(9.75, -14.55, 42.35)","(1.95, -5.85, 26.62)","(-3.6, -8.7, 40.898)","(9.6, -10.2, 29.524)","(2.7, -19.2, 33.396)"
