,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
0,0.0,"(56.55, 10.35, 43.076)","(16.35, -38.7, 34.606)","(4.35, -19.35, 29.524)","(17.55, -6.3, 27.588)","(9.6, -15.6, 41.382)","(3.3, -5.55, 25.168)","(-2.25, -8.7, 39.93)","(9.0, -9.75, 28.072)","(3.6, -18.6, 35.574)"
1,0.01,"(59.55, 10.8, 46.464)","(16.65, -38.4, 36.784)","(6.15, -16.5, 25.41)","(16.5, -6.75, 26.62)","(11.7, -15.0, 40.898)","(3.45, -7.35, 30.492)","(-1.5, -9.3, 39.688)","(7.95, -9.6, 30.008)","(2.4, -18.9, 33.88)"
2,0.02,"(58.35, 12.75, 48.884)","(14.85, -38.4, 33.396)","(1.05, -15.6, 30.492)","(17.25, -4.8, 27.588)","(9.9, -12.75, 41.866)","(2.4, -6.0, 28.798)","(-3.0, -8.85, 41.382)","(7.8, -10.8, 27.83)","(2.85, -21.0, 33.88)"
3,0.03,"(60.3, 12.6, 46.222)","(15.3, -39.45, 34.606)","(4.65, -14.25, 29.766)","(15.6, -5.55, 24.442)","(9.75, -17.25, 43.318)","(4.65, -8.85, 24.442)","(-1.5, -7.8, 44.286)","(10.95, -10.8, 29.04)","(2.4, -20.55, 32.428)"
4,0.04,"(57.6, 8.55, 45.012)","(15.75, -37.8, 33.88)","(2.85, -18.15, 34.848)","(18.0, -5.7, 27.588)","(10.95, -16.5, 38.962)","(2.7, -6.9, 25.168)","(-2.25, -8.85, 42.834)","(9.6, -11.55, 28.072)","(3.0, -17.7, 32.428)"
5,0.05,"(55.65, 10.95, 46.948)","(17.85, -36.15, 34.122)","(3.3, -18.3, 27.346)","(16.65, -6.45, 25.41)","(12.15, -15.6, 41.866)","(3.3, -7.05, 24.926)","(-1.05, -7.8, 41.14)","(8.4, -11.4, 28.556)","(3.15, -19.5, 35.574)"
6,0.060000000000000005,"(62.4, 7.2, 40.898)","(16.2, -36.15, 29.282)","(2.25, -15.6, 28.072)","(16.35, -6.3, 27.346)","(10.95, -15.45, 43.56)","(3.75, -7.65, 26.862)","(-1.2, -9.15, 42.35)","(9.3, -12.15, 29.524)","(3.6, -18.9, 33.154)"
7,0.07,"(57.15, 10.65, 47.19)","(16.8, -37.65, 32.186)","(3.75, -18.0, 27.83)","(18.0, -5.85, 26.62)","(9.3, -15.3, 39.93)","(4.8, -6.45, 28.072)","(-1.8, -7.2, 39.93)","(10.35, -10.35, 28.556)","(2.25, -20.85, 35.332)"
8,0.08,"(56.85, 11.1, 44.286)","(17.25, -37.65, 33.638)","(7.8, -16.95, 32.428)","(18.0, -5.1, 27.104)","(11.85, -13.35, 41.624)","(4.05, -6.3, 26.62)","(-0.9, -7.05, 40.898)","(10.65, -10.65, 28.072)","(4.2, -20.1, 33.396)"
9,0.09,"(61.65, 6.45, 49.126)","(17.25, -38.55, 33.396)","(2.1, -14.4, 24.926)","(15.75, -6.6, 29.04)","(12.0, -15.0, 41.382)","(3.9, -6.45, 26.136)","(-1.8, -9.45, 40.898)","(9.45, -12.6, 28.314)","(3.45, -18.6, 35.574)"
10,0.09999999999999999,"(57.0, 10.8, 50.82)","(18.75, -37.35, 32.67)","(3.75, -17.4, 27.83)","(17.55, -4.95, 26.62)","(11.85, -15.15, 42.35)","(4.5, -7.5, 27.83)","(0.45, -8.4, 40.414)","(9.15, -11.55, 29.282)","(3.75, -19.65, 33.88)"
11,0.10999999999999999,"(59.55, 11.85, 45.496)","(19.05, -39.45, 34.848)","(4.8, -20.7, 34.364)","(18.0, -5.55, 29.282)","(10.65, -13.8, 41.624)","(5.55, -6.75, 26.62)","(-1.5, -7.65, 39.446)","(10.8, -11.55, 29.524)","(5.25, -18.6, 36.3)"
12,0.11999999999999998,"(59.25, 8.4, 46.948)","(17.85, -36.6, 35.332)","(4.35, -13.65, 29.282)","(18.75, -3.9, 26.862)","(12.3, -14.25, 40.172)","(5.1, -5.7, 27.346)","(-1.95, -9.15, 39.204)","(10.05, -11.25, 27.83)","(4.5, -19.8, 34.606)"
13,0.12999999999999998,"(54.9, 10.65, 47.916)","(16.35, -37.35, 34.848)","(4.5, -15.45, 25.894)","(15.75, -5.85, 25.894)","(10.35, -14.55, 41.382)","(4.35, -6.3, 25.168)","(-3.3, -8.4, 40.172)","(10.05, -11.4, 28.798)","(3.45, -21.75, 32.912)"
14,0.13999999999999999,"(56.55, 9.15, 43.076)","(17.85, -38.55, 33.638)","(4.35, -20.1, 24.2)","(16.05, -6.15, 29.04)","(11.55, -14.1, 40.656)","(3.6, -7.2, 27.104)","(-2.4, -9.15, 39.688)","(9.3, -11.7, 30.492)","(1.95, -20.25, 33.154)"
15,0.15,"(57.45, 9.45, 47.19)","(16.8, -38.85, 32.912)","(5.4, -15.0, 26.378)","(16.35, -6.9, 25.894)","(12.15, -15.0, 42.592)","(5.1, -8.1, 28.314)","(-1.95, -7.8, 41.382)","(9.45, -11.7, 30.734)","(2.7, -16.65, 31.944)"
16,0.16,"(55.95, 10.65, 45.496)","(17.55, -37.95, 32.67)","(1.35, -16.65, 31.46)","(17.4, -4.65, 25.168)","(11.25, -14.55, 42.35)","(3.9, -7.05, 24.684)","(-0.9, -6.6, 41.382)","(9.3, -10.5, 29.282)","(3.6, -19.05, 34.848)"
