,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9
0,0.0,"(71.7, 30.0, 38.236)","(15.9, -39.0, 37.752)","(5.4, -20.1, 25.894)","(18.0, -2.7, 29.766)","(11.4, -15.9, 40.172)","(0.9, -5.55, 27.588)","(-3.9, -8.7, 40.898)","(8.85, -12.3, 28.314)","(2.85, -22.35, 33.154)"
1,0.01,"(71.85, 30.3, 36.784)","(17.85, -35.1, 30.976)","(-0.15, -20.25, 26.136)","(19.65, -2.4, 27.346)","(10.95, -16.8, 40.172)","(2.25, -6.45, 26.862)","(-5.25, -8.4, 41.382)","(7.95, -11.55, 29.524)","(2.4, -21.0, 36.058)"
2,0.02,"(72.0, 30.6, 36.542)","(21.15, -39.45, 34.848)","(3.9, -15.15, 19.36)","(17.55, -2.85, 27.83)","(9.0, -15.0, 40.656)","(-0.45, -5.4, 27.346)","(-4.05, -6.0, 42.35)","(10.05, -10.65, 27.83)","(2.7, -20.1, 34.606)"
3,0.03,"(70.05, 29.1, 38.478)","(17.85, -39.3, 37.026)","(1.2, -14.25, 23.716)","(17.25, -4.65, 28.072)","(9.9, -16.65, 42.834)","(1.35, -8.55, 25.41)","(-3.15, -10.05, 40.898)","(7.95, -9.45, 31.944)","(3.0, -18.9, 34.848)"
4,0.04,"(71.7, 30.0, 36.784)","(16.65, -36.15, 36.542)","(4.2, -16.65, 31.702)","(16.35, -4.65, 27.346)","(11.7, -16.5, 41.382)","(2.55, -6.9, 24.442)","(-2.1, -9.6, 41.624)","(7.2, -11.4, 29.524)","(2.85, -20.4, 33.88)"
5,0.05,"(70.8, 30.15, 37.51)","(15.0, -37.35, 35.332)","(1.8, -15.0, 25.652)","(16.05, -4.65, 28.556)","(10.2, -16.35, 43.56)","(3.0, -5.4, 26.378)","(-3.15, -8.55, 42.35)","(7.35, -11.7, 27.346)","(2.25, -18.6, 34.606)"
6,0.060000000000000005,"(70.95, 29.1, 37.752)","(17.25, -38.55, 34.364)","(4.2, -17.55, 27.83)","(16.5, -5.55, 28.072)","(10.65, -15.45, 40.414)","(1.8, -7.2, 23.474)","(-4.2, -8.4, 38.962)","(7.65, -10.05, 31.218)","(2.55, -19.5, 34.848)"
7,0.07,"(71.55, 29.85, 37.268)","(17.7, -38.7, 35.816)","(5.25, -13.65, 27.588)","(17.55, -4.05, 27.83)","(10.35, -16.2, 41.866)","(0.15, -6.3, 25.168)","(-5.1, -8.85, 40.898)","(10.35, -10.95, 28.072)","(1.95, -22.8, 34.606)"
8,0.08,"(70.2, 29.4, 37.268)","(17.25, -37.35, 33.638)","(4.2, -13.2, 29.04)","(18.0, -3.9, 26.62)","(11.55, -15.45, 38.962)","(2.55, -6.75, 24.2)","(-3.6, -8.4, 41.624)","(6.6, -11.85, 30.25)","(1.05, -22.8, 34.606)"
9,0.09,"(69.6, 31.35, 37.268)","(17.85, -39.15, 35.332)","(4.2, -15.6, 25.168)","(17.1, -4.2, 27.83)","(10.5, -15.9, 42.592)","(1.5, -6.75, 26.136)","(-2.25, -8.25, 42.834)","(8.4, -12.75, 27.588)","(1.95, -20.55, 33.396)"
10,0.09999999999999999,"(70.2, 30.6, 36.542)","(16.2, -35.1, 37.994)","(5.1, -14.1, 30.492)","(17.55, -3.0, 27.83)","(11.25, -16.65, 40.172)","(0.15, -6.6, 28.072)","(-2.55, -8.1, 42.108)","(7.2, -10.95, 29.524)","(3.0, -21.15, 34.364)"
11,0.10999999999999999,"(70.8, 31.35, 38.236)","(16.35, -38.1, 37.268)","(2.55, -16.35, 24.684)","(18.75, -4.65, 27.346)","(9.75, -15.45, 39.688)","(1.5, -6.9, 24.926)","(-4.95, -8.25, 41.382)","(8.25, -12.3, 29.282)","(1.95, -20.4, 36.3)"
12,0.11999999999999998,"(71.1, 29.7, 37.268)","(15.6, -41.55, 33.396)","(5.85, -12.6, 28.556)","(18.6, -3.0, 26.62)","(9.9, -16.8, 42.108)","(2.25, -6.75, 24.926)","(-1.8, -8.55, 40.172)","(8.4, -10.05, 30.734)","(1.65, -20.55, 33.88)"
13,0.12999999999999998,"(70.65, 30.6, 37.268)","(17.1, -41.1, 30.25)","(4.05, -15.6, 22.506)","(18.0, -3.3, 28.798)","(9.3, -16.2, 41.14)","(1.65, -5.25, 25.41)","(-1.95, -8.25, 42.108)","(7.95, -12.45, 31.944)","(0.6, -20.4, 31.702)"
14,0.13999999999999999,"(72.6, 28.8, 36.542)","(18.15, -40.35, 34.122)","(3.6, -19.2, 30.976)","(17.85, -4.05, 28.314)","(10.2, -16.05, 42.35)","(2.7, -5.7, 24.442)","(-3.3, -8.85, 42.108)","(7.8, -12.6, 27.83)","(2.4, -21.3, 33.396)"
15,0.15,"(70.2, 30.9, 37.51)","(19.95, -38.4, 36.058)","(4.8, -16.95, 28.556)","(19.5, -5.55, 29.766)","(10.5, -16.5, 44.286)","(1.2, -5.25, 25.168)","(-3.15, -9.45, 41.382)","(8.7, -9.9, 26.862)","(2.55, -21.45, 31.46)"
16,0.16,"(71.25, 29.7, 37.026)","(16.2, -35.85, 27.346)","(2.25, -16.05, 27.588)","(17.25, -5.25, 25.652)","(10.5, -16.5, 43.56)","(3.0, -7.5, 27.83)","(-3.6, -7.5, 40.414)","(8.25, -10.35, 27.83)","(2.55, -21.3, 34.364)"
17,0.17,"(71.25, 28.2, 37.51)","(16.35, -40.05, 31.702)","(4.05, -17.85, 26.378)","(18.15, -5.1, 28.556)","(11.25, -16.35, 40.898)","(1.95, -6.75, 25.652)","(-2.4, -7.95, 42.592)","(9.6, -10.65, 27.588)","(2.85, -21.6, 33.154)"
18,0.18000000000000002,"(71.25, 29.25, 36.784)","(15.45, -37.95, 34.364)","(4.65, -14.1, 22.264)","(18.45, -4.95, 28.314)","(9.9, -16.5, 40.172)","(2.55, -5.55, 26.136)","(-3.45, -10.5, 39.688)","(6.45, -11.1, 27.83)","(2.4, -20.55, 36.542)"
19,0.19000000000000003,"(72.75, 29.1, 37.752)","(16.35, -36.3, 32.912)","(8.25, -15.9, 29.04)","(17.7, -6.45, 29.524)","(10.35, -17.1, 41.14)","(1.8, -6.0, 29.04)","(-4.2, -9.0, 42.592)","(7.65, -12.9, 28.556)","(3.75, -22.05, 34.848)"
